job_listing_no,job_type,page,salary_info,technical_skills,travel_info
28501,Contract W2,571,Depends On Experience,QA,"Telecommuting not available
Travel not required"
28502,"Full Time, Permanent Full Time",571,,"Agile, Architecture, Automated, Bridges, Business Requirements, CGI, CSP, Development, Manager, Management, PMP, Project, Project Management, Project Manager, Sales, Security","Telecommuting not available
Travel not required"
28503,"C2H Corp-To-Corp, 3+",571,$50,Android SDK from version 2.2 (Froyo) to version 6.0 (Marshmallow),"Telecommuting not available
Travel not required"
28504,"Contract W2, Long Term",571,Negotiable,oracle 11g 12c RAC,"Telecommuting not available
Travel not required"
28505,"Full Time, Full-time, Employee",571,"$80,000 - $100,000","JavaScript, ReactJS, AngularJS, Front End Web Development, JavaScript Libraries, CSS, HTML5 - JavaScript, ReactJS, AngularJS, Front End Web Development, JavaScript Libraries, CSS, HTML5","Telecommuting not available
Travel not required"
28506,"Full Time, Full Time",571,,"Agile, Architecture, Automated, Development, IBM, Java, Protocols, Scripts, Shell Scripts, Unix, WebSphere","Telecommuting not available
Travel not required"
28507,Full Time,571,Negotiable,IOS,"Telecommuting not available
Travel not required"
28508,Full Time,571,,"Analysis, Analyst, Architecture, CCNP, CISSP, Cisco, Exchange, Firewall, Hardware, iOS, Linux, Manager, Management, MCSE, Networks, Peripheral, Printer, Routers, Security, Simulation, Solaris, Switches, Unix, Windows","Telecommuting not available
Travel not required"
28509,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2, 12+ months",571,open,"Linux Administrator, Red Hat RHCSA, Red Hat RHSE - Strictly Local Candidates only, Only W2","Telecommuting not available
Travel not required"
28510,Contract W2,571,Market,"TAD PGS, INC. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the U.S. Federal marketplace, including U.S. Government agencies and their prime contractors. Wi","Telecommuting not available
Travel not required"
28511,Full Time,571,$80-100K,"Matlab/Simulink/Stateflow/RTW, TargetLink","Telecommuting not available
Travel not required"
28512,"Contract Independent, Contract W2, 12 Months",571,Market,"Basis, SAP, HANA, S4","Telecommuting not available
Travel not required"
28513,Full Time,571,Unspecified,SQL OBIEE,"Telecommuting not available
Travel not required"
28514,"Contract Corp-To-Corp, Contract Independent, Contract W2, 12 + Months",571,Negotiable,"Java,J2EE,RestFul,SOAP,SOA,SQL","Telecommuting not available
Travel not required"
28515,"Full Time, Contract W2, 4+ months",571,Negotiable,"HR Adminstrative experience, strong Excel skills and administrative skills","Telecommuting not available
Travel not required"
28516,"C2H Corp-To-Corp, C2H Independent, C2H W2",571,$35.00 to $55.00 per hour,"Analysis, Analyst, Business Intelligence, Research, Sales","Telecommuting not available
Travel not required"
28517,"Full Time, Full Time",571,,"CCNA, CCNP, Circuits, Costing, Excel, Frame Relay, MS Office, Networking, Networks, Outlook, PC, Peripherals, PowerPoint, Printer, Protocols, RF, Sales, Sales Engineer, Telecommunications, Video, Wireless","Telecommuting not available
Travel not required"
28518,Full Time,571,$75000 - $85000,"Windows Server 2012R2, Active Directory, Exchange, VMware, backup","Telecommuting not available
Travel not required"
28519,"Full Time, FT",571,90000-100000,"SAP ABAP, ERP, SQL, Development","Telecommuting not available
Travel not required"
28520,Full Time,571,,"Biometrics, Database, Development, HTML, Lifecycle, Manager, Management, Programming, Project, Project Management, SAS, SDLC, SQL, Validation, XML","Telecommuting not available
Travel not required"
28521,"Full Time, Full-time, Employee",571,"$100,000 - $175,000","SailPoint, IdentityIQ, IGA Technologies, Cloud, IdentityNow, Lightbox, Security, Governance, Java, SQL - SailPoint, IdentityIQ, IGA Technologies, Cloud, IdentityNow, Lightbox, Security, Governance, Java, SQL","Telecommuting not available
Travel not required"
28522,Full Time,571,Negotiable,"JavaScript, AngularJS, React JQuery, HTML5, Python, Java, Django, Google App Engine, GAE, Google Cloud Platform, GCP, GWT, Google, Agile, Scrum,","Telecommuting available
Travel not required"
28523,C2H W2,571,"up to $100,000","RDBMS, SQL, T-SQL, SQL Server, SQL Reporting Server","Telecommuting not available
Travel not required"
28524,"Contract Corp-To-Corp, Contract Independent, Contract W2, 8-12months",571,Negotiable,"capital stream 10.3,","Telecommuting not available
Travel not required"
