job_listing_no,job_type,page,salary_info,technical_skills,travel_info
2701,"Full Time, Perm",55,Market,"Data Engineer  Victoria, BC","Telecommuting not available
Travel not required"
2702,"Full Time, Contract Independent, Contract W2, C2H Corp-To-Corp, 6 Months",55,Depends On Experience,"Kimball and Inmon methodology skills, ErWin","Telecommuting not available
Travel not required"
2703,"C2H Corp-To-Corp, C2H Independent, C2H W2",55,Negotiable,"Datastage,Quallitystage,SAS","Telecommuting not available
Travel not required"
2704,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Long Term",55,Market,"Java/J2EE/Big data, MongoDB, Cassandra, Spark and Kafka","Telecommuting not available
Travel not required"
2705,"Full Time, PERM",55,market,"Fixed Income data and analytics, SQL Server, Oracle,  Perl/Python","Telecommuting not available
Travel not required"
2706,Contract W2,55,Depends On Experience,"BI, Data Architect, Big Data, Data Warehousing,","Telecommuting not available
Travel not required"
2707,"Contract W2, 18 months",55,50.00,"Tableau, SQL, Data Analysis, Data Visualization","Telecommuting not available
Travel not required"
2708,"Contract Corp-To-Corp, Contract Independent, Contract W2",55,00000000,"AS400, CL, RPG, SYNON, Unit testing, COBOL,Java, Python.","Telecommuting not available
Travel not required"
2709,Full Time,55,,"Agile, Analysis, Analyst, Analytical Skills, Business Intelligence, Business Intelligence Applications, Database, Data Warehouse, Development, Lifecycle, PL/SQL, Security, Simulation, SQL, Testing","Telecommuting not available
Travel not required"
2710,Full Time,55,,,"Telecommuting not available
Travel not required"
2711,"Contract Corp-To-Corp, Contract Independent, Contract W2, 8 months",55,Market,"sap, ecc, applications, hadoop, data structure, big data, data modelers, project manager,","Telecommuting not available
Travel not required"
2712,"Contract Corp-To-Corp, Contract Independent, Contract W2, 6  months",55,market,"Informatica power center 2. Data Analysis, Data modeling, mapping, data sourcing, integration Detailed Job Description: Hands on expertise of 5 years on Informatica power center. Data Analysis, Data","Telecommuting not available
Travel not required"
2713,"Contract Independent, Contract W2, C2H Independent, C2H W2",55,market,"Data modeler,ETL","Telecommuting not available
Travel not required"
2714,Full Time,55,Depends On Experience,"Data warehouse or business intelligence technologies and concepts,  ETL workflows, SQL and relational database.","Telecommuting not available
Travel not required"
2715,,55,BASED ON EXPERIENCE,"QA Analyst, Data warehouse testing, SQL, PL/SQL, ETL, Banking experience preferred, Experience as a Lead or as Business Analyst preferred","Telecommuting not available
Travel not required"
2716,Full Time,55,Market,"Data Architect,enterprise systems,architectures,Data Lifecycle process, Data Modeling, data dictionaries,Integration programs,Troux, Mega, Alfabet, Orbus,Big 4","Telecommuting not available
Travel not required"
2717,Full Time,55,"46,950-70,450","Education: Bachelors degree,  License/Certification: DAMA/TDWI/Microsoft certification in data management, data warehousing and/or T-SQL preferred","Telecommuting not available
Travel not required"
2718,Contract Corp-To-Corp,55,Negotiable,Data Architect,"Telecommuting not available
Travel not required"
2719,"Full Time, Contract W2",55,Depends On Experience,"Big Data, Hadoop, Spark, Hive, Python","Telecommuting not available
Travel not required"
2720,Full Time,55,$100-120K,Senior Ab Initio Data Developer,"Telecommuting not available
Travel not required"
2721,"Full Time, Contract W2",55,Market,DB2 DBA Z/OS TSO SPUFI BMC Power Designer data modeling COBOL SAS,"Telecommuting not available
Travel not required"
2722,"Full Time, Full-time, Employee",55,"$110,000 - $200,000","Java/C++/Python/Node.JS/ Scala, AWS, JavaScript, Algorithms, data structures - Java/C++/Python/Node.JS/ Scala, AWS, JavaScript, Algorithms, data structures","Telecommuting not available
Travel not required"
2723,Full Time,55,Depends On Experience,MemSQL Data Modeler -SQL Expert,"Telecommuting not available
Travel not required"
2724,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",55,Depends On Experience,SAS Data Integration / Visual Analytics Consultant,"Telecommuting not available
Travel not required"
2725,"Full Time, permanent full time",55,open,SSIS SSRS SSAS,"Telecommuting not available
Travel not required"
2726,"Contract Independent, Contract W2, 3+ mos",55,BASED ON EXPERIENCE,"SQL, Oracle. Data profiling, Data Analysis","Telecommuting not available
Travel not required"
2727,"Contract Corp-To-Corp, Contract Independent, Contract W2, 6+ Month",55,Depends On Experience,Data migration expert (seibel eim),"Telecommuting not available
Travel not required"
2728,"Full Time, full-time employment",55,140000 - 185000/yr,"Windows Aggregate functions, CTE, correlated subqueries, data modeling, columnar databases, distributed databased, big data, PLUSES Scala, Java, C++, C#, Python, AWS, RedShift, Spark, Cassandra, Storm","Telecommuting not available
Travel not required"
2729,"Full Time, Contract W2, Longterm",55,Negotiable,"SQL, Data Modeling, Unix/Linux, DataStage and Sqoop, Cognos, QlikView","Telecommuting not available
Travel not required"
2730,"Full Time, permanent",55,Deluxe Comp. Pkg.,"distributed computing architecture and implementation, big data architecture, modeling and implementation","Telecommuting not available
Travel not required"
2731,"Full Time, Full-time, Employee",55,"$140,000 - $175,000","Data Center Sales, Sales Executive, Hunter role, Cold Calling - Data Center Sales, Sales Executive, Hunter role, Cold Calling","Telecommuting not available
Travel required to 50%."
2732,Full Time,55,00,Undergraduate degree or Technical Certificate  5-7 years related experience Preferred:  Hands-on experience and proficiency with Informatica  Experience in a technical lead role developing ETL pr,"Telecommuting not available
Travel not required"
2733,Contract W2,55,Competitive,"data analyst, data engineer","Telecommuting not available
Travel not required"
2734,"Contract Corp-To-Corp, Contract Independent, Contract W2, Longterm",55,Doe,"Project Manager, Big Data, SAS","Telecommuting not available
Travel not required"
2735,"Full Time, Perm",55,Competitive,"Architecture, Data Architecture, Development, IT, Manager, Management, Project, Project Manager, Quality, Security","Telecommuting not available
Travel not required"
