company,date,detailUrl,jobTitle,job_listing_no,location,page
SolutionStream,2017-04-20,http://www.dice.com/job/result/10282071/UT-AngularJS?src=19,JavaScript Engineer (AngularJS),3951,"Lehi, UT",80
The Armada Group,2017-04-22,http://www.dice.com/job/result/armada/7977?src=19,Perl Engineer,3952,"Newark, CA",80
The Denzel Group,2017-04-20,http://www.dice.com/job/result/10207044/965874?src=19,Integration Analyst,3953,"Flemington, NJ",80
"Amarx Search, Inc.",2017-03-30,http://www.dice.com/job/result/amarx/1556?src=19,HR Representative,3954,"Tempe, AZ",80
Calsoft Labs,2017-04-17,http://www.dice.com/job/result/10114742/#814?src=19,Sharepoint Administrator or Tableau Administrator,3955,"San Diego, CA",80
Collabera,2017-04-12,http://www.dice.com/job/result/10208346C/2369_HK@BIPMN?src=19,BI Developer,3956,"Minneapolis, MN",80
GreenSky Credit,2017-04-22,http://www.dice.com/job/result/90790689/572462?src=19,Lead (SQL) Operations DBA,3957,"Atlanta, GA",80
ASB Resources,2017-04-07,http://www.dice.com/job/result/10311390/949935?src=19,Sr. Network Engineer,3958,"Jersey City, NJ",80
BayOne Solutions,2017-04-19,http://www.dice.com/job/result/10494547/857255?src=19,Senior UX Researcher,3959,"San Francisco, CA",80
Collabera,2017-04-04,http://www.dice.com/job/result/10208346/2469_HaDoop_NY?src=19,Hadoop Developer,3960,"New York, NY",80
"InfoVision, Inc.",2017-04-18,http://www.dice.com/job/result/infotx/609502?src=19,Scala developer in Irving TX,3961,"IRVING, TX",80
The Armada Group,2017-04-22,http://www.dice.com/job/result/armada/7891?src=19,Control Engineer,3962,"Sunnyvale, CA",80
Alpha Net Consulting LLC,2017-04-17,http://www.dice.com/job/result/10195458/RD-ADF12?src=19,ADF Developer,3963,"Palo Alto, CA",80
Tavant,2017-04-14,http://www.dice.com/job/result/10110807/850689?src=19,Digital Solution Architect,3964,"Santa Clara, CA",80
"Pyramid Consulting, Inc.",2017-04-12,http://www.dice.com/job/result/pyrmid/17-09511?src=19,ITSM Service management,3965,"Plano, TX",80
CDM Technology,2017-04-18,http://www.dice.com/job/result/10522490/52115?src=19,AWS/Linux Systems Operation Engineer,3966,"Carlsbad, CA",80
"Veritis Group, Inc.",2017-04-19,http://www.dice.com/job/result/10122475/947694?src=19,ETL Developer/SSIS with (Hive/Pig/Hadoop/Python)- Need on our W2,3967,"Madison, WI",80
"Infomerica, Inc",2017-04-05,http://www.dice.com/job/result/10374913/RS65925?src=19,Project Manager,3968,"Raleigh, NC",80
