job_listing_no,job_type,page,salary_info,technical_skills,travel_info
3151,"Full Time, Full-time, Employee",64,"$85,000 - $120,000","Animal Models, Biology, Communication Skills, Presentation Skills - Animal Models, Biology, Communication Skills, Presentation Skills","Telecommuting not available
Travel not required"
3152,"Contract Independent, Contract W2, C2H Independent, C2H W2",64,market,"AWS, Azure, Google Cloud","Telecommuting not available
Travel not required"
3153,Contract W2,64,$51.88 - $51.88 per hour,*DNS *DHCP *TCP/IP *Bluecat,"Telecommuting not available
Travel not required"
3154,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time",64,as per market,"Hadoop, Java, Scala, Spark, MapReduce Hive, NoSQL, Sqoop, S3/AWS, Build Tools such as Maven and SBT","Telecommuting available
Travel not required"
3155,Full Time,64,Negotiable,"C# or Java, Javascript, or Jscript and a scripting language, preferably Python","Telecommuting not available
Travel not required"
3156,"Contract Corp-To-Corp, Contract Independent, Contract W2, 6 months",64,Depends On Experience,"(Content Management OR CMS) AND (JavaScript OR ""Server Side Scripting"") AND SEO","Telecommuting not available
Travel not required"
3157,"Contract Corp-To-Corp, Contract Independent, Contract W2, 12+ Months",64,Depends On Experience,"Cloud, Hadoop, AWS","Telecommuting not available
Travel not required"
3158,Full Time,64,Negotiable,"Extensive understanding of HL7 messaging standards and message structure, enterprise level interface integration platforms (e.g. CorePoint, Rhapsody)","Telecommuting not available
Travel not required"
3159,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, 12 months +",64,market,Java,"Telecommuting not available
Travel not required"
3160,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",64,BEST,Java NoSQL,"Telecommuting not available
Travel not required"
3161,"Full Time, Full-time",64,,"Agile, Analysis, Architecture, Developer, Development, Genetic, HTTP, Java, Libraries, Management, Project, Scrum, SDLC, SQL, Testing, Unix, Video","Telecommuting not available
Travel not required"
3162,"Contract Corp-To-Corp, Contract Independent, Contract W2, 12 months",64,Negotiable,Data Management SME,"Telecommuting not available
Travel not required"
3163,C2H W2,64,N/A,"scripting, McAfee Symantec","Telecommuting not available
Travel not required"
3164,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",64,Negotiable,"Analyst, Excel, Exchange, Management, Microsoft Excel, Networks, SAP, SAP Security, Security","Telecommuting not available
Travel not required"
3165,Full Time,64,,"Analysis, Analyst, Firewall, Networks, Security, Simulation","Telecommuting not available
Travel not required"
3166,"Contract W2, 12 months",64,Negotiable,"CHD, Horton works, MapR , Kerberos, HBase, Mongo db, AWS, Azure, Docker","Telecommuting not available
Travel not required"
3167,"Contract Corp-To-Corp, Contract Independent, Contract W2",64,Market,Python SQL Tableau,"Telecommuting not available
Travel not required"
3168,"Contract W2, 4 Months",64,Negotiable,"CISCO, Juniper, Alcatel, Adtran, ATM, Frame Relay, service provisioning process & circuit design, Net+/JNCIA/CCNA, SNMP, NetFlow","Telecommuting not available
Travel not required"
3169,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",64,Negotiable,"ABI, Apache, Database, Developer, Development, Excel, Hadoop, Java, Management, MongoDB, Oracle, Scrum, Shell Scripting, SQL, Testing, Unix","Telecommuting not available
Travel not required"
3170,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",64,Negotiable,"Agile, Analysis, Apache, Database, Developer, Development, Oracle, PL/SQL, Project, Python, SDLC, Security, SQL, SQL Server, TDD, Testing","Telecommuting not available
Travel not required"
3171,"C2H Independent, C2H W2",64,Depends On Experience,"Analysis, Analyst, Consulting, Database, Development, Director, Excel, Manager, Management, Programming, SQL, SQL Server, VBA, Visual Basic","Telecommuting not available
Travel not required"
3172,Full Time,64,,"Consulting, Database, Hadoop, Management, MongoDB, Programming, Project, Python, Research, Security","Telecommuting not available
Travel not required"
3173,"Full Time, Full-time, Employee",64,Unspecified,"MCSA, MCSE, Exchange, Database Accessibility Group, Windows, Local Area Networks, LAN, Wide Area Networks, WAN, SharePoint - MCSA, MCSE, Exchange, Database Accessibility Group, Windows, Local Area Networks, LAN, Wide Area Networks, WAN, SharePoint","Telecommuting not available
Travel not required"
3174,Full Time,64,,"Agile, Architecture, Development, Feasibility Studies, Hadoop, Linux, Management, Middleware, NoSQL, Programming, Scrum, Security, Shell Scripting, SQL, SSL, Unix","Telecommuting not available
Travel not required"
3175,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",64,Negotiable,"Analysis, Business Intelligence, CASE, Change Management, Consulting, Database, Development, Hadoop, Informatica, Manager, Management, Project, Project Management, Project Manager, Python, Research","Telecommuting not available
Travel not required"
3176,"Full Time, Permanent Full Time",64,,"Agile, Analysis, Apache, CGI, Database, Developer, Development, Oracle, PL/SQL, Python, SDLC, Security, SQL, SQL Server, TDD, Testing","Telecommuting not available
Travel not required"
3177,"Full Time, Full Time",64,Negotiable,"Architecture, Business Intelligence, Development, Lifecycle, Manager, Management, Scheduler, Testing","Telecommuting not available
Travel not required"
3178,"Contract W2, Temp",64,Competitive,"BASIC, Cabling, Computer, Customer Service, Hardware, Management, Materials, Network, Networks, Printer, Software, Systems, Technician, Telecommunications, Test, Testing","Telecommuting not available
Travel not required"
3179,"Full Time, Full Time",64,,"Customer Service, Database, Management, Oracle, Programmer, Programming, SAS, SQL","Telecommuting not available
Travel not required"
3180,"Contract W2, C2H W2",64,Negotiable,"Apache, Compiler, Developer, Development, Hadoop, Java, JavaScript, JDBC, Jenkins, jQuery, MySQL, mysql, NoSQL, ODBC, PostgreSQL, Programming, Scripts, SQL","Telecommuting not available
Travel not required"
3181,Full Time,64,,"Agile, Algorithms, ANSI, Apache, Architecture, Artificial Intelligence, Development, Hadoop, Java, Management, Micro, NoSQL, Security, Video","Telecommuting not available
Travel not required"
3182,"Full Time, Temporary",64,,"Accounting, Browser, Call Center, Development, Excel, Genetic, Management, Metrics, Release, Research, Scheduling, Security, SQL, Testing","Telecommuting not available
Travel not required"
3183,Full Time,64,$150000,Linux Unix C++,"Telecommuting not available
Travel not required"
3184,"Contract W2, 06 Months",64,Depends On Experience,"Excel, Active Directory","Telecommuting not available
Travel not required"
3185,Full Time,64,Depends On Experience,"Analyst, BI Tools, Excel, GIS, SQL","Telecommuting not available
Travel not required"
3186,Full Time,64,Depends On Experience,"Java, Hadoop, Cloudera, Architect, Developer, J2EE, Source code management","Telecommuting not available
Travel not required"
3187,Full Time,64,,"Analysis, Consulting, Database, Development, Encryption, Java, Manager, Management, Programming, Project, Project Manager, Quality Assurance, Security, XML","Telecommuting not available
Travel not required"
3188,"C2H Corp-To-Corp, C2H Independent, C2H W2, Contract to perm",64,0,Financial Data Analyst OR Spend OR Management OR GAAP OR Excel OR Microsoft Office OR PWC OR KPMG OR Deloitte OR EY,"Telecommuting not available
Travel not required"
3189,"Contract Corp-To-Corp, Full-time, Employee",64,Unspecified,"Python, pyflake, Nose, Cython, numpy, Sphinx, Winpdb, Git, JSON - Python, pyflake, Nose, Cython, numpy, Sphinx, Winpdb, Git, JSON","Telecommuting not available
Travel not required"
3190,"Full Time, Full-time, Employee",64,"$110,000 - $175,000","Java, J2EE, SQL, JDBC, Hibernate, RESTful - Java, J2EE, SQL, JDBC, Hibernate, RESTful","Telecommuting not available
Travel not required"
3191,Full Time,64,Depends On Experience,"Analyst, Manager","Telecommuting not available
Travel not required"
3192,Full Time,64,200K + 25% Bonus,"Cisco, Call Center, VOIP,  LAN, WAN, Firewall","Telecommuting not available
Travel not required"
3193,Contract Corp-To-Corp,64,market,"No SQL, Mongo, DynamoDB, Hadoop, Lambda, kafka, spark, elastic search, AWS,  Java, Scala, Python,  CMMI","Telecommuting not available
Travel not required"
3194,"Contract W2, 2 years",64,Negotiable,read job description for details on requirements (PREFER LOCAL CANDIDATES but will evaluate very strong candidates that are OUT-OF-STATE); work must be performed in Dallas,"Telecommuting not available
Travel not required"
3195,Contract W2,64,$65/HR - $80/HR,"SQL, Python, PHP","Telecommuting not available
Travel not required"
