job_listing_no,job_type,page,salary_info,technical_skills,travel_info
951,"C2H Corp-To-Corp, C2H Independent, C2H W2, long term",20,Depends On Experience,"Data Lake, talend, HIVE, HBASE","Telecommuting not available
Travel not required"
952,Contract W2,20,Depends On Experience,Data Modeler,"Telecommuting available
Travel not required"
953,"Contract W2, contract",20,$10.00HR,Typing 40 WPM,"Telecommuting not available
Travel not required"
954,"Full Time, Contract W2, C2H W2",20,,Data Center Network Technician,"Telecommuting not available
Travel not required"
955,"Full Time, Contract W2",20,Negotiable,"Interface with RAVE, the primary EDC system in LSH and between LSH and other systems","Telecommuting not available
Travel not required"
956,"Full Time, Contract W2, C2H Corp-To-Corp, C2H Independent, Long Term",20,Depends On Experience,"Data Governance, quality and Data Life Cycle process improvement methodologies, Cloud enablement, Technology augmentation & Infrastructure Migration and agile development methodologies","Telecommuting not available
Travel not required"
957,Full Time,20,,"Analysis, Analyst, Analytical Skills, Data Analysis, Data Warehouse, Developer, Development, Director, Excel, Exchange, Manager, Management, Project, Project Manager, Security, SQL, Testing","Telecommuting not available
Travel not required"
958,Full Time,20,$95K/annually,"Meta data management, data controls, data provisioning, BI & data analytics, data governance","Telecommuting not available
Travel not required"
959,"Contract Corp-To-Corp, Contract Independent, Contract W2",20,Depends On Experience,"QE lead, automation lead, curte big data workflow","Telecommuting not available
Travel not required"
960,Full Time,20,70000-80000,"BI, Business Intelligence, SQL Server, Data Warehouse, .NET, Oracle, Reporting Tools, SSRS, SSMS, SSIS, SSAS, ETL","Telecommuting not available
Travel required to 10%."
961,"Contract W2, 12-18 months",20,$60-70/hr,"Data Architecture, Data Mart, BI, Reporting, Dashboards & Analytics, BI Platforms, Metadata, Data Lineage, Data Quality, Data Modeling, Big Data, NoSQL","Telecommuting not available
Travel not required"
962,"Contract W2, Long",20,Negotiable,"Data, Olap, modeling","Telecommuting not available
Travel not required"
963,"Full Time, Right to Hire",20,,"Agile, Analysis, Apache, Bash, Data Analysis, Developer, Development, GIT, Hadoop, Java, Jenkins, Linux, Management, Networks, Programming, Python, Security, SQL, Unix","Telecommuting not available
Travel not required"
964,Full Time,20,,"Analysis, Analyst, Data Analysis, Development, Hadoop, Lifecycle, Management, Networks, Python, Research, Scientific, SQL, Testing, Video","Telecommuting not available
Travel not required"
965,"Full Time, Long Term",20,Negotiable,"Database Testing, Database concepts, PL/SQL, SQL Querying","Telecommuting not available
Travel not required"
966,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Contract",20,,"Analysis, Analyst, C++, Data Analysis, Database, Development, Excel, MS Office, Quality Assurance, Research, SAS, Scripts, SQL, Supervision, Testing, XML","Telecommuting not available
Travel not required"
967,"Contract Corp-To-Corp, Contract Independent, 12+ months",20,$75 + T&L;,"Data Center Consolidation, Migration Specialist, Technical Architect, Project Manager, Project Management","Telecommuting not available
Travel required to 100%."
968,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Full Time",20,,"Architecture, Business Objects, Consulting, Database, Data Warehouse, SAS, SQL","Telecommuting not available
Travel not required"
969,Contract W2,20,$ 20/hr,"Scanning Coordinator, Scan, Data Entry","Telecommuting not available
Travel not required"
970,"Full Time, Contract W2, 12+ Month",20,Depends On Experience,"SQL, ANSI SQL","Telecommuting not available
Travel not required"
971,Contract W2,20,Depends On Experience,"Storages DB Services, SQL Server, SQL Reporting Services","Telecommuting not available
Travel not required"
972,Full Time,20,,"Agile, Architecture, Business Intelligence, Customer Service, Data Architecture, Database, Data Modeling, Data Warehouse, Development, Hardware, Informatica, Iterative, Iterative Development, Lifecycle, Modeling, MySQL, mysql, PostgreSQL, Quality Assurance, Recruiter, Release, Sales, Scripts, SQL, SQL Server","Telecommuting not available
Travel not required"
973,"Full Time, Full Time",20,,"Accounting, Analysis, Analyst, Analytical Skills, Business Requirements, Data Analysis, Development, Management, Mathematical, Modeling, MS Office, Project, Scripts, Statistical Analysis, Supervision, Technical Writing, Testing","Telecommuting not available
Travel not required"
974,Full Time,20,,Big Data Engineer,"Telecommuting not available
Travel not required"
975,Full Time,20,,"Algorithms, Business Intelligence, C++, Customer Service, Data Modeling, Development, Foundation, Java, Management, Modeling, Recruiter, Software Engineer","Telecommuting not available
Travel not required"
976,Full Time,20,,"Consulting, Excel, Genetic, Management, Metrics, OCR, Supervision, Supervisor","Telecommuting not available
Travel not required"
977,"Contract Corp-To-Corp, Contract",20,Negotiable,"""Data Virtualization"", ""data architecture principles""","Telecommuting not available
Travel not required"
978,Full Time,20,$150000 - $165000 per annum,"Manager, Director, IT, Information Technology, IT Manager","Telecommuting not available
Travel not required"
979,Contract W2,20,$65/hr W2,"NEXUS, ROUTE, SWITCH, APPLICATION CENTRIC INFRASTRUCTURE, NETWORK, ENGINEER, ARCHITECT, CISCO, UCS, LAN/WAN, ASA, VXLAN, R/S","Telecommuting not available
Travel not required"
980,Full Time,20,$1.00 - $1.00 per hour,"Big Data Developer, Hive, Spark, Postgres DB, SQL","Telecommuting not available
Travel not required"
981,Full Time,20,Depends On Experience,"Tableau, OBIEE, Canvas LMS, Data Stage, Informatica or ODI, SQL writing and database programming, and experience with Relational Database Management Systems (RDBMS)","Telecommuting not available
Travel not required"
982,Contract Corp-To-Corp,20,Depends On Experience,10+ years overall experience with expert Data warehousing and Big Data solutions experience,"Telecommuting not available
Travel not required"
983,Contract W2,20,$ - $35 per hour,Data Analyst,"Telecommuting not available
Travel not required"
984,Full Time,20,-,"Oracle. 9i and/or 10g relational database system preferred. SQL, PL-SQL and SQL*Loader for database applications. Informatica software","Telecommuting not available
Travel not required"
985,"Contract Corp-To-Corp, Contract Independent, Contract W2, 1 year",20,open,Sr Data Modeler / Sr SQL Developer,"Telecommuting not available
Travel not required"
986,"Full Time, Contract Corp-To-Corp, Contract W2, Fulltime/ Contract",20,Depends On Experience,"Big Data with Hadoop, Spark, Scala, HBASE","Telecommuting not available
Travel not required"
987,"Contract W2, 7 months",20,$30/hr,"Data Analyst, SAP, MS Excel","Telecommuting not available
Travel not required"
988,"C2H W2, 6 months",20,40,"Data Analyst, Data Analysis","Telecommuting not available
Travel not required"
989,Full Time,20,Depends On Experience,"SQL SERVER, SAS, SPSS, Tableau, Excel, Minitab, Power Insight, Qlikview, EMR, Microsoft (Excel, Word, PowerPoint, Access, Visio)","Telecommuting not available
Travel not required"
990,"Contract W2, 8+ Months",20,to $45 per hour,"strong MS Excel; good CRM systems skills (MS Dynamics, Salesforce, SugarCRM, etc)","Telecommuting not available
Travel not required"
991,Contract W2,20,Market,"Oracle, PL/SQL, Data warehouses, Unix servers","Telecommuting not available
Travel not required"
992,"Full Time, Full Time",20,,"Analysis, Architecture, BI Tools, Business Intelligence, Consulting, Data Architecture, Database, Data Modeling, Data Warehouse, Developer, Development, Excel, Hadoop, HTTP, Inquire, Java, Management, Modeling, Python, Scripts, SQL, SQL Server, Testing","Telecommuting not available
Travel not required"
993,"Contract Independent, Contract W2, 2+ mos",20,BASED ON EXPERIENCE,"COSMO, CSS, CSS DATA MART, DATA MART, POWER BI, POWERBI, INTERANA","Telecommuting not available
Travel not required"
994,"Contract Independent, Contract W2, C2H Independent, C2H W2, 6+ Months",20,Depends On Experience,"Data Analysis, SQL","Telecommuting not available
Travel not required"
995,"Contract W2, 3 months",20,18-20,"networking, Dell Swithces, IOS commands, Cisco Switches","Telecommuting not available
Travel not required"
996,Full Time,20,,Data Architect,"Telecommuting not available
Travel not required"
997,Full Time,20,Competitive,"Analysis, Analyst, Data Collection, Data Mining, Hardware, HTTP, Management, Modeling, Supervision, Windows","Telecommuting not available
Travel required to 50%."
998,"Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 6-12 months +",20,-,Sr Data Analyst - Data Mapping - Data Migration - Insurance (P & C),"Telecommuting not available
Travel not required"
999,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time, 2-3 years",20,Negotiable,PolicyCenter Data Migration Architect,"Telecommuting not available
Travel not required"
1000,"Contract Corp-To-Corp, Contract Independent, Contract W2, 3-6 months",20,competitive,"DW/BI, ETL, RedShift, AWS, Oracle PL/SQL,","Telecommuting not available
Travel not required"
