company,date,detailUrl,jobTitle,job_listing_no,location,page
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/9465?src=19,"Analyst, Database",12201,"Hurlburt Field, FL",245
Loganbritton,2017-04-21,http://www.dice.com/job/result/10109326/GISANALTIL?src=19,Sr. GIS Analyst,12202,"Chicago, IL",245
Vertex Group,2017-04-18,http://www.dice.com/job/result/10196041/20160604?src=19,Epic Clarity Certified,12203,"Atlanta, GA",245
"Nexon America, Inc.",2017-04-21,http://www.dice.com/job/result/RTX145586/967549?src=19,"Sr. Software Engineer, Integrations (mobile gaming)",12204,"Emeryville, CA",245
U.S. Tech Solutions Inc.,2017-04-21,http://www.dice.com/job/result/usts/885294?src=19,AS400 Programmer,12205,"Fountain Valley, CA",245
"API Systems, Inc",2017-04-13,http://www.dice.com/job/result/10214630/949078?src=19,Software Solutions Architect,12206,"Irving, TX",245
Info Way Solutions,2017-04-21,http://www.dice.com/job/result/90769335/961089?src=19,Mid-Sr Java Engineer,12207,"Sunnyvale, CA",245
The Creative Group,2017-04-23,http://www.dice.com/job/result/10466845/03320-0009245224?src=19,Web Analytics Specialist,12208,"Cincinnati, OH",245
Xoriant Corporation,2017-04-21,http://www.dice.com/job/result/xorca001/872864?src=19,Quality Systems Specialist - III,12209,"La Verne, CA",245
"Computer Aid, Inc.",2017-04-07,http://www.dice.com/job/result/10114077/881351?src=19,RPG Developer,12210,"Pittsburgh, PA",245
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/BW4-136442212?src=19,Regional Account Manager,12211,"San Jose, CA",245
Hendall Inc,2017-04-05,http://www.dice.com/job/result/10503742/R16-77?src=19,Health Insurance Payments Analyst,12212,"Rockville, MD",245
Techsourcers,2017-04-18,http://www.dice.com/job/result/90958329/895057?src=19,Marketing Optimization Lead Full-Stack Developer  Statistics - Perm,12213,"Saint Louis, MO",245
"4A Consulting, LLC",2017-04-05,http://www.dice.com/job/result/90854147/871145?src=19,Greenplum admin,12214,"Baltimore, MD",245
Urban Science,2017-04-17,http://www.dice.com/job/result/10125077/933485?src=19,Sr Consultant Onsite Canada,12215,"Toronto, ON",245
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/DN2-13655455?src=19,Full Stack Developer,12216,"New York, NY",245
"OneinaMil, LLC",2017-04-20,http://www.dice.com/job/result/RTX1a6177/966562?src=19,Technical Team Lead - Analytics,12217,"Philadelphia, PA",245
Systems Technology Group Inc. (STG),2017-03-30,http://www.dice.com/job/result/10124418/887200?src=19,Controls Engineer,12218,"Detroit, MI",245
Viper Technology Services,2017-04-11,http://www.dice.com/job/result/10122125/918014?src=19,System Administrator,12219,"Patuxent River, MD",245
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/SS2-13667912?src=19,MySQL DBA,12220,"Orem, UT",245
Verizon,2017-04-22,http://www.dice.com/job/result/10241294/453696-1A?src=19,User Experience and Interface Development Engineer,12221,"San Francisco, CA",245
Tuscany Enterprises,2017-04-19,http://www.dice.com/job/result/tuscany/865439?src=19,Algorithm Engineer,12222,"Southfield, MI",245
Randstad Professionals,2017-04-23,http://www.dice.com/job/result/cxsphbal/397632?src=19,Database Developer Analyst,12223,"Perry Hall, MD",245
ZDAAS LLC,2017-04-21,http://www.dice.com/job/result/RTX15b2a5/920013?src=19,Solutions Architect,12224,"Crownsville, MD",245
Stratford Solutions Inc,2017-04-21,http://www.dice.com/job/result/90867441/967579?src=19,Front-End Application Developer,12225,"Jersey City, NJ",245
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITWQG1620622?src=19,Marketing Analyst,12226,"Burbank, CA",245
TEK HeadQuarters,2017-04-17,http://www.dice.com/job/result/90887113/TAE00022556?src=19,Systems Network Engineer,12227,"Foothill Ranch, CA",245
InfowareTech Inc.,2017-04-20,http://www.dice.com/job/result/10291436/965683?src=19,Coldfusion Developer,12228,"Dallas, TX",245
Cigniti Technologies Inc,2017-04-21,http://www.dice.com/job/result/10121990/25636?src=19,Requirement for Sr ETL Tester,12229,"Owings Mills, MD",245
Markant Corporation,2017-03-28,http://www.dice.com/job/result/10124365/912619?src=19,Senior Analyst,12230,"Washington, DC",245
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/22163?src=19,EITSM Database Administrator/BMC Remedy,12231,"Langley Afb, VA",245
Ogletree  Deakins,2017-04-04,http://www.dice.com/job/result/90922982/815918?src=19,"Senior Manager, Information Security - Greenville, SC",12232,"Greenville, SC",245
Net2Source Inc.,2017-04-13,http://www.dice.com/job/result/10271304/957472?src=19,Desktop Tech with A+ and active secret clearance,12233,"Bethesda, MD",245
Trigent Solutions,2017-04-21,http://www.dice.com/job/result/10486913/961699?src=19,Sr. Technical Project Manager (Healthcare),12234,"Washington, DC",245
Net2Source Inc.,2017-04-19,http://www.dice.com/job/result/10271304/964107?src=19,W2/1099 :: SQL Database Developer with AWS,12235,"Sarasota, FL",245
