company,date,detailUrl,jobTitle,job_listing_no,location,page
CenturyLink,2017-04-23,http://www.dice.com/job/result/10226217/131416-en_US?src=19,IT Operations Technician 1,14651,"Littleton, CO",294
ConsultUSA,2017-04-20,http://www.dice.com/job/result/10119092/10627D?src=19,Mainframe Automation Analyst,14652,"New York, NY",294
IT First Source,2017-04-20,http://www.dice.com/job/result/10116820/IT00AutoTesTX?src=19,QA Architect( Automation),14653,"Richardson, TX",294
Prosum,2017-04-10,http://www.dice.com/job/result/prosum/TF16502?src=19,EDI Specialist,14654,"Long Beach, CA",294
Consulting Solutions,2017-04-21,http://www.dice.com/job/result/cnsl/2159?src=19,Software Developer ( .Net C# ASP.Net TSQL ),14655,"West Los Angeles, CA",294
RSM US,2017-04-22,http://www.dice.com/job/result/RTX16cf99/SEMC20896-en-us?src=19,Consulting - Manager - Operations and Supply Chain Consulting,14656,"Alpharetta, GA",294
ManTech International Corporation,2017-04-23,http://www.dice.com/job/result/10120503/90053BR-481?src=19,Training Specialist - Software,14657,"Washington, DC",294
Capgemini,2017-04-18,http://www.dice.com/job/result/KANBAY/911255?src=19,Business Analyst (Healthcare insurance),14658,"Newark, NJ",294
Gambit Technologies,2017-04-23,http://www.dice.com/job/result/10116662/MF31622936754531?src=19,"Full-Stack Engineer, Elite Quant Firm, $120-$160K",14659,"New York, NY",294
Calsoft Labs,2017-04-21,http://www.dice.com/job/result/10114742/NK-SA1909?src=19,Project Manager Large Scope - Local only,14660,"Dublin, OH",294
Palo Alto Networks,2017-04-23,http://www.dice.com/job/result/10312220/oMBw4fwH?src=19,Staff/Sr Staff Software Engineer (Network Forwarding),14661,"Santa Clara, CA",294
Eliassen Group,2017-04-22,http://www.dice.com/job/result/cxelisen/261779?src=19,Application Architect,14662,"Quincy, MA",294
"TEKsystems, Inc.",2017-04-23,http://www.dice.com/job/result/10105424/5975783-483?src=19,PC Tech,14663,"Allen Park, MI",294
