job_listing_no,job_type,page,salary_info,technical_skills,travel_info
24251,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2",486,Depends On Experience,"Migration, Customization, Procure to Pay (P2P),  O2C, Oracle e-Business Suite Applications (R12, 11i),  Inventory (INV), General Ledger (GL), Accounts Receivable (AR), Accounts Payables (AP)","Telecommuting not available
Travel not required"
24252,"Contract Corp-To-Corp, Contract Independent, 12+months",486,open,"Oracle Finance cloud / Fusion financials, core finance","Telecommuting not available
Travel not required"
24253,Full Time,486,Depends On Experience,"CISSP, PKI, cybersecurity,  ISO27000","Telecommuting not available
Travel not required"
24254,"Full Time, Full Time",486,Depends On Experience,"Web Development, Software Development, Web Applications, Computer Science, Angular JS","Telecommuting not available
Travel not required"
24255,"C2H W2, 3-6 mo contr to perm",486,$45k - $55k,"Tier II Help Desk experience, great interpersonal skills","Telecommuting not available
Travel not required"
24256,Full Time,486,"57,000.00 (annual)","Agile Methodology, QA","Telecommuting not available
Travel required to 10%."
24257,Full Time,486,-,,"Telecommuting not available
Travel not required"
24258,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2, Part Time, 12+ months",486,Unspecified,PEGA certified Senior System Architect,"Telecommuting not available
Travel not required"
24259,Full Time,486,72500,See job description,"Telecommuting not available
Travel required to 10%."
24260,"Full Time, Full Time",486,,"Agile, Analysis, Development, Manager, Management, PMP, Project, Project Management, Project Manager, Risk Management","Telecommuting not available
Travel not required"
24261,Full Time,486,,"Analyst, Analytical Skills, Change Management, Development, Director, Disaster Recovery, Epic, Management, Networking, Project, Project Management, Quality Assurance, Research, Supervision, Validation","Telecommuting not available
Travel not required"
24262,Contract W2,486,,QA Engineer - EBS,"Telecommuting not available
Travel not required"
24263,"Contract Corp-To-Corp, Contract Independent, Contract W2, 8 months",486,Negotiable,Refer to Job Description,"Telecommuting not available
Travel not required"
24264,"Full Time, Permanent Fulltime",486,Market,"Ruby on Rails, HTML, CSS, JavaScript","Telecommuting available
Travel not required"
24265,C2H W2,486,"75,000-85,000","Java Developer, Agile, RESTful web services","Telecommuting not available
Travel not required"
24266,Full Time,486,Depends On Experience,"LIS, supervisory or management experience","Telecommuting not available
Travel not required"
24267,Full Time,486,Depends On Experience,AWS Azure Cloud virtualization VMware,"Telecommuting not available
Travel not required"
24268,"Contract Independent, Contract W2",486,Depends On Experience,Software Engineer,"Telecommuting not available
Travel not required"
24269,Full Time,486,$15.00 to $15.50 per hour,"Anti-Virus, Customer Service, Desktop Support, Excel, Hardware, Laptop, Outlook, PC, Peripheral, PowerPoint, Security, Technician, Windows, Wireless","Telecommuting not available
Travel not required"
24270,"C2H Independent, C2H W2",486,Depends On Experience,"Database, Disaster Recovery, Management, Security, SQL, SQL Server, Testing, Windows","Telecommuting not available
Travel not required"
24271,"Contract Independent, Contract W2, 6-12+ Months",486,Depends On Experience,"Seeburger BIC 6 and BIS 6, Develop Workflows- Business Process Modeling Language (BPML),  Extended Rules, Java User Exits, Troubleshoot, Testing, Map development","Telecommuting not available
Travel not required"
24272,"Contract Independent, Contract W2, 9+ Months",486,Depends On Experience,"Java, J2EE, Scala, secondarily, JavaScript, coding, Conduct design, code reviews","Telecommuting not available
Travel not required"
24273,Full Time,486,105000,"technical writer, marketing writer, marketing communications, content, blog, SAAS, cloud, video, product marketing, software as a service, devOps, documentation, web content, white papers,","Telecommuting not available
Travel not required"
24274,"Contract Corp-To-Corp, Contract Independent, Contract W2, 6+ months",486,$13/hr W2,Payroll,"Telecommuting not available
Travel not required"
24275,"Contract W2, C2H W2",486,Negotiable,"Agile, Algorithms, Apache, Database, Developer, Development, J2EE, Java, MongoDB, NoSQL, OOP, Programming, Security, SOAP, SQL, TDD, XML","Telecommuting not available
Travel not required"
24276,Full Time,486,"$44,000.00 to $66,000.00 per year","Content Management, Ecommerce, HTML, Management, Metrics, Multimedia, Research, Testing","Telecommuting not available
Travel not required"
24277,Full Time,486,"$35,000.00 to $45,000.00 per year","Automotive, Content Management, Excel, Manager, Management, Microsoft Excel, SQL","Telecommuting not available
Travel not required"
24278,Full Time,486,Negotiable,3+ years professional software development experience with Ruby / Ruby on Rails,"Telecommuting not available
Travel not required"
24279,"Contract Corp-To-Corp, Contract Independent, Contract W2, 6 months",486,Negotiable,CIRT/NOC/SOC incident management experience,"Telecommuting not available
Travel not required"
24280,"Contract Corp-To-Corp, Contract Independent, C2H Corp-To-Corp, C2H Independent, Part Time, 6+ Months",486,Depends On Experience,"Java/J2EE, SQL","Telecommuting not available
Travel not required"
24281,"Full Time, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, Part Time, 5 years",486,Depends On Experience,"Project Contract Manager,SQL-based query language,system testing,software assurance analytical, mathematical,customer service orientatio report software, spreadsheets, graphs and flow charts","Telecommuting not available
Travel not required"
24282,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 6 Months",486,Negotiable,"WCS Developer , IBM WCS, J2EE, Struts, Java, IBM WCS FEP 7,","Telecommuting not available
Travel not required"
24283,"Full Time, FTE",486,Negotiable,"MS SQL 2012, DBA","Telecommuting not available
Travel not required"
24284,Contract Corp-To-Corp,486,,"SFDC Solutions Architect, New York City ,12 months, $95 - 110ph","Telecommuting not available
Travel not required"
24285,Contract W2,486,90000,"Kronos, ADP Enterprise, ADP Vantage","Telecommuting not available
Travel not required"
24286,Full Time,486,neg,"PeopleSoft,","Telecommuting not available
Travel not required"
