job_listing_no,job_type,page,salary_info,technical_skills,travel_info
15451,Full Time,310,,"Accounting, Architecture, Business Requirements, Developer, Development, Director, Disaster Recovery, ERP, Feasibility Studies, Hardware, Lifecycle, Management, Programming, Project, Project Management, Quality Assurance, SAP, SDLC, Security, Telecommunications","Telecommuting not available
Travel not required"
15452,Full Time,310,Competitive,"Analysis, Analyst, Development, HTTP, Management, Metrics, Research, Scientific, Security","Telecommuting not available
Travel not required"
15453,"Full Time, Permanent",310,US85000 per annum,"- Seven or more years of experience as a .NET Developer - Advanced knowledge of object-oriented concepts, design patterns and development processes - Understanding of iterative development practices including Agile and Scrum - Experience developing test cases - Proficiency in C#, ASP.NET, .NET Framework, SQL Server, MVC, JQuery, JavaScript,Web Services, TFS, HTML, CSS, XML - Software Design, Software Documentation, Software Testing, General Programming Skills, Software Development Fundamentals, Software Development Process, Software Requirements, Software Architect","Telecommuting not available
Travel not required"
15454,Full Time,310,,"Analysis, Analyst, Excel, Hub, Manager, Management, Metrics, Outlook, Risk Management","Telecommuting not available
Travel not required"
15455,Full Time,310,,"Architecture, Customer Service, Development, Embedded, Sales, Specification, Supervision, Telecommunications","Telecommuting not available
Travel required to 25%."
15456,Full Time,310,Not Specified,Please see job description,"Telecommuting not available
Travel not required"
15457,Full Time,310,"$100,000 - $120,000","ASP.NET/C#, MVC, Entity, SQL 2012","Telecommuting not available
Travel not required"
15458,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2, 9+ Months",310,Depends On Experience,"Project Coordination, Marketing and MS Office","Telecommuting not available
Travel not required"
15459,Full Time,310,,"3D, Development, Mechanical, Project, Research, Telecommunications, Testing","Telecommuting not available
Travel not required"
15460,Full Time,310,,"Analyst, Business Intelligence, Database, SQL, Testing, Validation","Telecommuting not available
Travel not required"
15461,Full Time,310,,Software Engineer - Intelligence Community (581-712),"Telecommuting not available
Travel not required"
15462,Full Time,310,0,"Salesforce Development, APEX Development, Force.com, SOAP, Web Services","Telecommuting not available
Travel not required"
15463,C2H W2,310,Depends On Experience,"c#, angular.js","Telecommuting not available
Travel not required"
