company,date,detailUrl,jobTitle,job_listing_no,location,page
"Apex Systems, Inc",2017-04-12,http://www.dice.com/job/result/apexsan/955608?src=19,Data Visualization and Report Analyst,3101,"Saint Louis, MO",63
"DST Systems, Inc",2017-04-07,http://www.dice.com/job/result/RTX191607/R224250?src=19,Investment Data Specialist,3102,"Albany, NY",63
Stabilis Professional Services,2017-04-21,http://www.dice.com/job/result/10526331/903412?src=19,Development Scientist (Bioinformatics),3103,"Andover, MA",63
State Farm Insurance,2017-04-22,http://www.dice.com/job/result/RTL906969/63958?src=19,Data Analyst-DBA and DBSA,3104,"Dunwoody, GA",63
"TEKsystems, Inc.",2017-04-22,http://www.dice.com/job/result/10105424/5951631-628?src=19,Data Center Tech,3105,"Las Vegas, NV",63
ApTask,2017-04-04,http://www.dice.com/job/result/10441603/945099?src=19,Big Data Solution Architect,3106,"Orlando, FL",63
Alpha Net Consulting LLC,2017-04-20,http://www.dice.com/job/result/10195458/967417?src=19,Hadoop/Big Data Application Developer,3107,"jersey city, NJ",63
NORTHROP GRUMMAN,2017-04-22,http://www.dice.com/job/result/ngitbot/17007597?src=19,Behavioral Res Scientist 2,3108,"Monterey, CA",63
Software Guidance & Assistance,2017-04-22,http://www.dice.com/job/result/sgainc/17-01409?src=19,Big Data Solutions Architect,3109,"New York, NY",63
Datanomics,2017-03-24,http://www.dice.com/job/result/DATANOM/19888?src=19,Engineer Data I,3110,"Southlake, TX",63
Elevano,2017-04-22,http://www.dice.com/job/result/10482258/908966?src=19,Senior Data Engineer,3111,"San Francisco, CA",63
Dell,2017-04-21,http://www.dice.com/job/result/delliirc/17000BVW?src=19,Glbl Prod Data Mgmt Advisor,3112,"Austin, TX",63
Gambit Technologies,2017-04-22,http://www.dice.com/job/result/10116662/CR296941562956781?src=19,Full Stack/ Front End Software Engineer - Data Processing (200K+),3113,"Boston, MA",63
Gambit Technologies,2017-04-22,http://www.dice.com/job/result/10116662/SD638410366239?src=19,C++ Sr. Software Engineer - Data Distribution Platform $225K,3114,"New York, NY",63
CSRA,2017-04-21,http://www.dice.com/job/result/srabot/4059680?src=19,"Storage & Backup Engineer (EMC Isilon, Data Domain, RAID Inc, Brocade and Cisco)",3115,"Rockville, MD",63
