job_listing_no,job_type,page,salary_info,technical_skills,travel_info
27201,"Contract Corp-To-Corp, Contract Independent, Contract W2, 1 year",545,Depends On Experience,"exchange server 2010 Administration , Windows 2008 , Powershell, TCP/IP, DHCP, HTTP, LDAP, SNMP, SMTP, MS 365 Suite, DAG Replication, SuSE, Linux Enterprise Server,Blackberry Enterprise Servers,","Telecommuting not available
Travel not required"
27202,"Full Time, Full-time, Employee",545,"$60,000 - $85,000","PHP, LAMP, JavaScript, CMS, MVC - PHP, LAMP, JavaScript, CMS, MVC","Telecommuting not available
Travel not required"
27203,"Contract Independent, Contract W2, 6+ months",545,Depends On Experience,"CAD, PLM INTEGRATION","Telecommuting not available
Travel not required"
27204,"Full Time, Full Time",545,,"Aviation Systems, Database, Development, Diagnostic, Embedded, Embedded Systems, HP-UX, HTTP, Linux, Management, MySQL, mysql, Oracle, Rational, Surveillance, Tester, Testing, UX, Windows","Telecommuting not available
Travel required to 20%."
27205,"Full Time, Full Time",545,Depends On Experience,"SFDC, CRM","Telecommuting not available
Travel not required"
27206,"Full Time, Full-time, Employee",545,"$120,000 - $175,000","Machine Learning, Deep Learning, Artificial Intelligence, Java - Machine Learning, Deep Learning, Artificial Intelligence, Java","Telecommuting not available
Travel not required"
27207,Full Time,545,"46,000 - 49,000","network, network switches, access points, routers, NMS, Internet, troubleshooting, Cat-5/6, Cisco, Ethernet, IP, VLAN, SNMP, DNS, DHCP,","Telecommuting not available
Travel not required"
27208,Full Time,545,"110,000-135,000","GIS, java, geospatial","Telecommuting not available
Travel not required"
27209,"Full Time, Full-time, Employee",545,"$40,000 - $55,000","ROI, SEM, Search Engine Marketing, Ad Groups, Campaigns - ROI, SEM, Search Engine Marketing, Ad Groups, Campaigns","Telecommuting not available
Travel not required"
27210,Full Time,545,"90,000",Linux AIX F5,"Telecommuting not available
Travel not required"
27211,"Full Time, Full Time",545,"135,000","Network Engineer, Senior, Remote, Route, Switch","Telecommuting not available
Travel required to 25%."
27212,Full Time,545,,".Net, Analysis, Architecture, Business Requirements, Change Management, Consulting, Development, Director, HTTP, ISO, Management, Modeling, Project, Project Management, Security, System Architecture","Telecommuting not available
Travel not required"
27213,Full Time,545,,"WebSphere Commerce, Agile, Ecommerc","Telecommuting not available
Travel not required"
27214,Full Time,545,,"Accounting, Analysis, Architecture, Change Management, Development, Hardware, Management, Networks, Peripheral, Project, Project Management, Security, Simulation, Testing, Video","Telecommuting not available
Travel not required"
27215,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",545,,"BIND, HTML, Manager, Management, Project, Project Management, Project Manager","Telecommuting not available
Travel not required"
