company,date,detailUrl,jobTitle,job_listing_no,location,page
"Forar Tech, LLC.",2017-04-20,http://www.dice.com/job/result/90623337/17262?src=19,Sr. Java with QA,17551,"Sunnyvale, CA",352
Insignia Technology Services,2017-04-23,http://www.dice.com/job/result/RTX11b935/1076?src=19,Systems Administrator II (Job ID: 1076),17552,"Washington, DC",352
UBS,2017-04-23,http://www.dice.com/job/result/10259091/144265BR?src=19,IT Project Manager - Regulatory Reporting,17553,"Weehawken, NJ",352
Apple Inc.,2017-04-23,http://www.dice.com/job/result/applecup/56525211?src=19,AppleCare Project Manager (Software NPI/Sustaining/Qual,17554,"Cupertino, CA",352
Vaco - Memphis,2017-04-23,http://www.dice.com/job/result/10115369/INFOSEC111-188?src=19,"Information Security Engineer, Incident Response",17555,"Memphis, TN",352
Caresoft Inc.,2017-04-21,http://www.dice.com/job/result/10108743/JPC398-398?src=19,Sr. TMF Business Analyst,17556,"Edison, NJ",352
The Denzel Group,2017-03-31,http://www.dice.com/job/result/10207044/940829?src=19,"Manager, Network & Telecom",17557,"York, PA",352
eclaro,2017-04-17,http://www.dice.com/job/result/ndi/17-01176?src=19,Help Desk Analyst,17558,"Tampa, FL",352
Dimensional Thinking,2017-04-18,http://www.dice.com/job/result/10226510/1773?src=19,Microsoft CRM Developer,17559,"Atlanta, GA",352
Eliassen Group,2017-04-22,http://www.dice.com/job/result/cxelisen/262113?src=19,IT Computer Systems Administrator,17560,"Lexington, MA",352
Gambit Technologies,2017-04-23,http://www.dice.com/job/result/10116662/JS404648622279737?src=19,Java/C# Software Engineer - Tech Driven Hedge Fund 150k - 200k,17561,"New York, NY",352
Matlen Silver,2017-04-23,http://www.dice.com/job/result/90939747/940887?src=19,.Net Developer,17562,"New York, NY",352
"Pyramid Consulting, Inc.",2017-03-28,http://www.dice.com/job/result/pyrmid/17-04795?src=19,Interactive Marketing Consultant (05),17563,"Roswell, GA",352
Eliassen Group,2017-04-22,http://www.dice.com/job/result/cxelisen/262123?src=19,2nd Shift Cloud Services Tech Support Contractor,17564,"Draper, UT",352
Camber Corporation,2017-04-23,http://www.dice.com/job/result/10116608/15436?src=19,Senior Configuration Manager - 15436,17565,"San Antonio, TX",352
"Apex Systems, Inc",2017-04-05,http://www.dice.com/job/result/apexsan/908211?src=19,UI/AngularJS Developer,17566,"Columbia, MD",352
