company,date,detailUrl,jobTitle,job_listing_no,location,page
Precision Computer Services (PCS),2017-04-07,http://www.dice.com/job/result/10306881/868359?src=19,.Net Application Developer,29101,"Farmington, CT",583
Software Specialists Inc,2017-04-07,http://www.dice.com/job/result/10128873/32355?src=19,Oracle Fusion Middleware Consultant,29102,"Columbia, SC",583
Snap Inc,2017-04-05,http://www.dice.com/job/result/10112892/PR-HQ-228?src=19,Tripwire Specialist/IT Security Engineer,29103,"Chantilly, VA",583
"Sysmind, LLC",2017-04-20,http://www.dice.com/job/result/10114932/ashish0419?src=19,SailPoint Developer with Java,29104,"Malvern, PA",583
Net2Source Inc.,2017-03-30,http://www.dice.com/job/result/10271304/938379?src=19,APM Developer,29105,"San Ramon,, CA",583
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/14945?src=19,TOP SECRET Cleared VTC Administrator,29106,"Clarksburg, WV",583
The Judge Group,2017-04-23,http://www.dice.com/job/result/cxjudgpa/522940?src=19,Network Engineer OR Network Administrator,29107,"Atlantic City, NJ",583
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_185152BR?src=19,Network Engineer II-DOCSIS Support Desk,29108,"Centennial, CO",583
IDC Technologies,2017-04-21,http://www.dice.com/job/result/10114879/960084?src=19,LDAP,29109,"Minneapolis, MN",583
Experis,2017-04-23,http://www.dice.com/job/result/cxmnpwr1/FOX_11217330-366?src=19,Financial Systems Engineer - Lawson,29110,"Portland, OR",583
"Pragmatics, Inc.",2017-04-23,http://www.dice.com/job/result/pragmtcs/5985?src=19,Junior ASP.NET Developer,29111,"Charlottesville, VA",583
VariQ Corporation,2017-04-23,http://www.dice.com/job/result/10286792/2716?src=19,IT Service Coordinator,29112,United States,583
NetPace,2017-04-13,http://www.dice.com/job/result/netpace/ITEKJP00013197?src=19,Java Application Developer- II,29113,"Folsom, CA",583
CME Group,2017-04-23,http://www.dice.com/job/result/CHIMERCX/13269?src=19,Senior Software Engineer,29114,"Chicago, IL",583
Neuro Systems Inc.,2017-04-18,http://www.dice.com/job/result/10360631/959571?src=19,Java Engineer/Developer with  1.8,29115,"Newark, CA",583
Technosoft Corporation,2017-04-19,http://www.dice.com/job/result/tecnos/773527?src=19,Splunk Architect,29116,"Boston, MA",583
Primus Software Corp,2017-04-21,http://www.dice.com/job/result/primusga/dotnettx?src=19,".net, c#, asp.net, html, api, vb.net, sql, caching, devops",29117,"irving, TX",583
CSS Staffing,2017-04-21,http://www.dice.com/job/result/conne001/WebiReports?src=19,Webi Reports Writer,29118,"Omaha, NE",583
TSYS,2017-04-23,http://www.dice.com/job/result/10143991/R0000698-872?src=19,Senior HR Business Analyst or Above,29119,"Columbus, GA",583
EliteInfotek Inc.,2017-04-19,http://www.dice.com/job/result/90939001/652098?src=19,IT Asset Manager,29120,"Wilmington, DE",583
Dew Software,2017-04-21,http://www.dice.com/job/result/10113487/795379?src=19,Full Stack developer,29121,"Redwood City, CA",583
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/13349?src=19,"Sr Administrator, Systems",29122,"Ft Meade, MD",583
Engage Partners,2017-04-23,http://www.dice.com/job/result/10483814/J3L5S96ST68Y45401D4?src=19,Epic Cadence Systems Analyst,29123,"Mountain View, CA",583
"Agility Network Services, Inc.",2017-04-05,http://www.dice.com/job/result/RTL152725/20161014SNCE?src=19,Senior Network Engineer at Chicagoland's Top I.T. Firm,29124,"Chicago, IL",583
Harvey Nash USA,2017-04-23,http://www.dice.com/job/result/esi/BBBH42389-221?src=19,Software Test Engineer,29125,"Bellevue, WA",583
"Beacon Hill Staffing Group, LLC",2017-04-23,http://www.dice.com/job/result/10507816/NSJSCRIPTNS-105?src=19,JavaScript Software Engineer,29126,"Los Angeles, CA",583
Matrix Resources,2017-04-23,http://www.dice.com/job/result/matrixga/125985?src=19,Sr. Business Analyst,29127,"Fort Worth, TX",583
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/21084?src=19,"AF DCGS Principal Systems Engineer & Subject Matter Expert - TS/SCI - Robins AFB, GA",29128,"Robins Afb, GA",583
Palace Gate Corporation,2017-04-20,http://www.dice.com/job/result/10124421/DT3757?src=19,Office 365 or AZURE IT  Administrator,29129,"Deerfield, IL",583
