company,date,detailUrl,jobTitle,job_listing_no,location,page
Volt,2017-04-22,http://www.dice.com/job/result/10105694/36147-962?src=19,Data Reviewer - Quality Assurance,1851,"New Brunswick, NJ",38
Brown University,2017-04-05,http://www.dice.com/job/result/RTX14f902/REQ133053?src=19,Scientific Programmer/Data Analyst,1852,"Providence, RI",38
The Judge Group,2017-04-22,http://www.dice.com/job/result/cxjudgpa/518392?src=19,Data Analyst,1853,"Dallas, TX",38
"APN Software Services, Inc",2017-04-14,http://www.dice.com/job/result/apn/Scientist_CA?src=19,Sr. Scientist (Imaging),1854,"Mountain View, CA",38
Resolve Tech Solutions (RTS),2017-03-31,http://www.dice.com/job/result/10368525a/ACC987?src=19,HDInsight Azure Data Lake,1855,"Irving, TX",38
OnwardPath Technology Solutions LLC,2017-04-21,http://www.dice.com/job/result/10455053/PM0306?src=19,TECH PROJECT/PRODUCT MANAGER with BIG DATA- Hadoop Exp,1856,"Chicago, IL",38
The Judge Group,2017-04-22,http://www.dice.com/job/result/cxjudgpa/525373?src=19,Data Architect,1857,"Atlanta, GA",38
NYC Dept of Info Technology (DoITT),2017-04-07,http://www.dice.com/job/result/10110574/283248?src=19,Data Manager - Mayor's Office of Special Enforcement,1858,"New York, NY",38
INSYS Group,2017-04-13,http://www.dice.com/job/result/insysus/16-02963?src=19,Solutions Architect with Big Data,1859,"Basking Ridge, NJ",38
Mindlance,2017-04-20,http://www.dice.com/job/result/10114908/967120?src=19,Data warehouse Analyst,1860,"Phoenix, AZ",38
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/01500-0009237045?src=19,Data Warehouse Developer,1861,"Des Moines, IA",38
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/LS4-13650469?src=19,"UI/UX Designer (Data Visualization, SaaS)",1862,"Conshohocken, PA",38
"Career Guidant, Inc",2017-04-19,http://www.dice.com/job/result/90956933/964563?src=19,IBM IIB with WMB and Data power,1863,"Phoenix, AZ",38
Hyatt Leader,2017-04-19,http://www.dice.com/job/result/hyattldr/NN15436?src=19,Project Manager (Data Warehouse/Business Intelligence),1864,"New York, NY",38
Shain Associates,2017-04-17,http://www.dice.com/job/result/10145990/909758?src=19,Big Data Developer,1865,"Princeton, NJ",38
General Dynamics Information Technology,2017-04-22,http://www.dice.com/job/result/90979310/23563?src=19,Data Warehouse and Business Intelligence Architect,1866,"Fairfax, VA",38
Enterprise Solutions,2017-04-21,http://www.dice.com/job/result/entca005/KSG010?src=19,Senior BI Data Architect,1867,"San Francisco, CA",38
Indecomm Holding Inc - Technology Services,2017-04-21,http://www.dice.com/job/result/10122158/568?src=19,Big Data architect,1868,"Pittsburgh, PA",38
"Charter Global, Inc.",2017-04-13,http://www.dice.com/job/result/chartpro/SE314_DM_TX?src=19,Data Modeler / Data Engineer - TX,1869,"Dallas, TX",38
UDig,2017-04-21,http://www.dice.com/job/result/UDIVA001/878060?src=19,Data Analyst,1870,"Glen Allen, VA",38
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/NNG-1331043154?src=19,Data Engineer,1871,"Los Angeles, CA",38
The Judge Group,2017-04-22,http://www.dice.com/job/result/cxjudgpa/525025?src=19,Data Engineer - W2 ONLY,1872,"Philadelphia, PA",38
"Intelligent Capital Network, Inc.",2017-04-13,http://www.dice.com/job/result/humancap/5202?src=19,Data Analyst - Python,1873,"Mc Lean, VA",38
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/JR4-135696043?src=19,Senior Data Architect - Top 50 Visited Website in America,1874,"Calabasas, CA",38
ICONIQ Capital,2017-04-18,http://www.dice.com/job/result/RTX1bee81/931120?src=19,Data Warehouse Associate,1875,"San Francisco, CA",38
Infobahn Softworld Inc.,2017-04-04,http://www.dice.com/job/result/infobahn/938593?src=19,Data Modeler  (local candidates to Bay Area CA),1876,"South San Francisco, CA",38
Synapse Business Systems,2017-04-20,http://www.dice.com/job/result/90929707/967455?src=19,Data modeling,1877,"Miami, FL",38
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/SBS-136294517?src=19,Financial Market Data Manager/ Analyst - SQL,1878,"New York, NY",38
"Pragmatics, Inc.",2017-04-22,http://www.dice.com/job/result/pragmtcs/5938?src=19,Senior Data Services Engineer,1879,"Alexandria, VA",38
Booz Allen Hamilton,2017-04-22,http://www.dice.com/job/result/booz/J3J1S36SFKCMFBN03Q0?src=19,"Data Analyst, Senior",1880,"Charleston, SC",38
Make Corporation,2017-04-21,http://www.dice.com/job/result/makecorp/AG-OC116?src=19,Data Loss Prevention Lead,1881,"CHICAGO, IL",38
HumanEdge,2017-04-18,http://www.dice.com/job/result/10182497/281899?src=19,Technical Data Analyst,1882,"white plains, NY",38
Corporate Services,2017-04-22,http://www.dice.com/job/result/10211279/JR-203725?src=19,Marketing Data System Analyst (Temporary),1883,"San Ramon, CA",38
SYNECTIKS INC,2017-03-31,http://www.dice.com/job/result/10431162/939773?src=19,"delivery specialist - Avamar, Data Domain",1884,"Springfield, IL",38
CARFAX,2017-04-22,http://www.dice.com/job/result/appblok/1601_obrY4fwo?src=19,Data Integration Specialist,1885,"Centreville, VA",38
Career Developers,2017-04-13,http://www.dice.com/job/result/cdevelop/TY17-00033?src=19,"Project Manager, Data Warehouse & Reporting Contractor.",1886,"Clifton, NJ",38
TRIAD Group,2017-04-21,http://www.dice.com/job/result/TRIADW/14790?src=19,"Lead Engineer (Java, Big Data)",1887,"Seattle, WA",38
Tri-Starr Personnel,2017-04-03,http://www.dice.com/job/result/10315493/941433?src=19,Business Data Analyst,1888,"San Antonio, TX",38
Net2Source Inc.,2017-04-21,http://www.dice.com/job/result/10271304/968940?src=19,JAVA/Big Data Architect,1889,"Costa Mesa, CA",38
"KMM Technologies, Inc",2017-03-28,http://www.dice.com/job/result/10244996/934299?src=19,Senior SAS Data Integration / Visual Analytics Developer,1890,"San Diego, CA",38
Federal Reserve Bank,2017-04-22,http://www.dice.com/job/result/FRBSF/250236?src=19,Data Privacy Manager,1891,"San Francisco, CA",38
SelSoft Inc.,2017-04-21,http://www.dice.com/job/result/10307276/956512?src=19,Insurance Data Modeler/Data Analyst,1892,"New York, NY",38
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/PB2-135810938?src=19,"Data Analysis Engineer - JMP, NPI, Semiconductors, Electronics",1893,"San Jose, CA",38
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/CK-13654078?src=19,Cisco Data Center / Virtualization / Storage Solutions Engineer,1894,"Seattle, WA",38
Federal Reserve Bank,2017-04-22,http://www.dice.com/job/result/frbnyc/250113?src=19,"Business Architect, Data & Statistics - Research and St",1895,"New York, NY",38
"RedSalsa Technologies, Inc.",2017-04-10,http://www.dice.com/job/result/10114089/ASrst14566?src=19,Project Manager (Data center),1896,"Parsippany, NJ",38
Prime Source Technologies,2017-04-15,http://www.dice.com/job/result/10459326/959669?src=19,Data Architect Master,1897,"washington, DC",38
FedEx Services,2017-04-19,http://www.dice.com/job/result/90615169/964877?src=19,Enterprise Architect - Data Architect,1898,"Collierville, TN",38
Software Tech Enterprises,2017-04-10,http://www.dice.com/job/result/10462722/ODCS-1993?src=19,Master Data Management Specialist,1899,"Baltimore, MD",38
CGI,2017-04-22,http://www.dice.com/job/result/cgiamsbot/J0217-1555?src=19,Principal Big Data Architect,1900,"Hartford, CT",38
