job_listing_no,job_type,page,salary_info,technical_skills,travel_info
751,"Contract W2, 9 months",16,$52/hr.,"Data Analysis, MS Access, MS Excel, Oracle","Telecommuting not available
Travel not required"
752,Full Time,16,Depends On Experience,"Oracle, OLTP, Data architecture, Data Warehouse, Strategy","Telecommuting not available
Travel not required"
753,"Contract Corp-To-Corp, Contract Independent, Contract W2",16,Depends On Experience,"Overall 8+ years of Data technologies experience, 3+ years of Hadoop implementation experience","Telecommuting not available
Travel not required"
754,Full Time,16,,".Net, Agile, Analytical Skills, Architecture, BW, Data Architecture, Database, Data Warehouse, Developer, Development, Iterative, JSP, Modeling, Oracle, PL/SQL, Project, Quality Assurance, Release, SAP, SAP BW, Scripts, SQL, Supervision, Testing","Telecommuting not available
Travel not required"
755,"Full Time, Full-time",16,,"Analytical Skills, Automated, Database, Data Modeling, Developer, Development, Excel, Genetic, Modeling, Research, SAS, SQL, Teradata","Telecommuting available
Travel not required"
756,"Full Time, Full-time",16,,"Call Center, Customer Service, Database, Excel, Genetic, Management, Microsoft Word, Quality Assurance","Telecommuting not available
Travel not required"
757,"Full Time, Full-time",16,,"Analysis, CSP, Data Analysis, Database, Excel, Genetic, Informatica, Management, Metrics, MySQL, mysql, PowerPoint, Quality Assurance, SalesForce, SQL, SQL Server","Telecommuting not available
Travel not required"
758,"Full Time, Full-time",16,,"Analysis, Analyst, Business Objects, Data Analysis, Database, Excel, Genetic, IBM, Management, SalesForce","Telecommuting not available
Travel not required"
759,"Full Time, Full-time",16,,"Analysis, CSP, Data Analysis, Database, Excel, Genetic, Informatica, Management, Metrics, MySQL, mysql, PowerPoint, Quality Assurance, SalesForce, SQL, SQL Server","Telecommuting not available
Travel not required"
760,"Full Time, Full-time",16,,"Call Center, Customer Service, Database, Excel, Genetic, Management, Microsoft Excel, Microsoft Word, Quality Assurance","Telecommuting not available
Travel not required"
761,"Full Time, Full-time",16,,"Analysis, CSP, Data Analysis, Database, Excel, Genetic, Informatica, Management, Metrics, MySQL, mysql, PowerPoint, Quality Assurance, SalesForce, SQL, SQL Server","Telecommuting not available
Travel not required"
762,"Full Time, Full-time",16,,"Algorithms, Analysis, Business Intelligence, Database, Data Mining, DB2, Director, Genetic, Hadoop, Management, Mathematical, MongoDB, NoSQL, Oracle, Python, Research, SAS, Statistical Analysis","Telecommuting not available
Travel not required"
763,Contract Corp-To-Corp,16,Depends On Experience,data analyst,"Telecommuting not available
Travel not required"
764,"Full Time, Full-time",16,,"Analysis, CSP, Data Analysis, Database, Excel, Genetic, Informatica, Management, Metrics, MySQL, mysql, PowerPoint, Quality Assurance, SalesForce, SQL, SQL Server","Telecommuting not available
Travel not required"
765,"Contract Corp-To-Corp, Contract Independent, Contract W2, 4 + Months",16,$50/HR,"Big Data, Java, Spark, Hive, Scala, Pig, Hadoop","Telecommuting not available
Travel not required"
766,"Full Time, Full-time",16,,"Analysis, CSP, Data Analysis, Database, Excel, Genetic, Informatica, Management, Metrics, MySQL, mysql, PowerPoint, Quality Assurance, SalesForce, SQL, SQL Server","Telecommuting not available
Travel not required"
767,"Full Time, Full-time",16,,"Analysis, Analyst, Analytical Skills, Data Analysis, Database, Excel, Genetic, Management, Metrics, PowerPoint, Quality Assurance","Telecommuting not available
Travel not required"
768,"Full Time, Full-time",16,Competitive,"Analysis, Analyst, Business Analyst, Data Analysis, Database, Data Warehouse, Development, Excel, Genetic, Manager, Management, Metrics, Microsoft Excel, Quality Assurance, SAS, Sales, SQL, Supervision, Testing, Visual Basic","Telecommuting not available
Travel not required"
769,"Full Time, Full-time",16,Competitive,"Agile, Analysis, Application Servers, Architecture, Data Analysis, DataStage, Data Warehouse, Developer, Development, Encryption, Excel, Genetic, Hadoop, Hardware, IBM, Java, Libraries, MS Office, MySQL, mysql, NoSQL, Oracle, Outlook, Perl, Programming, Python, Scheduling, Scripts, Security, Shell Script, Shell Scripting, SQL, Teradata, Tivoli, Unix, Web Servers, WebSphere","Telecommuting not available
Travel not required"
770,"Full Time, Full-time",16,Competitive,"Agile, Architecture, Data Warehouse, Development, Genetic, Lifecycle, Management, Product Engineering","Telecommuting not available
Travel not required"
771,"Full Time, Full-time",16,Competitive,"Analysis, Analyst, Architecture, Business Analyst, Business Intelligence, Business Requirements, Data Modeling, Data Warehouse, Development, Genetic, Management, Modeling, Oracle, QA, SDLC, Testing, Unix","Telecommuting not available
Travel not required"
772,"Full Time, Full-time",16,Competitive,"Agile, Architecture, Business Requirements, Data Warehouse, Development, Director, Genetic, Hadoop, Java, Management, NoSQL, Project","Telecommuting not available
Travel not required"
773,"Full Time, Full-time",16,Competitive,"Agile, Analysis, Analyst, Architecture, Automated, Data Analysis, Database, Data Warehouse, DB2, Defect Management, Development, Director, Excel, Genetic, Lifecycle, Management, Metrics, MS Office, Oracle, Outlook, PowerPoint, Project, QA, Quality Assurance, Quality Center, SAS, Scripts, SQL, SQL Server, Teradata, Testing, Test Plan, Unix","Telecommuting not available
Travel not required"
774,"Full Time, Full-time",16,Competitive,"Agile, Analysis, Analyst, Business Requirements, CMS, Data Analysis, Data Warehouse, Development, Genetic, Hardware, Lifecycle, Management, Project, Quality Assurance, Scripts, Scrum, SDLC, SQL, Testing","Telecommuting not available
Travel not required"
775,"Full Time, Full-time",16,Competitive,"Agile, Analysis, Analyst, Business Analyst, Data Analysis, Database, Data Warehouse, Developer, Development, Foundation, Genetic, Hadoop, Hardware, Management, Metrics, Scripts, SQL, Testing","Telecommuting not available
Travel not required"
776,Full Time,16,Market,"Python, R, Tableau, SPSS, SAS, STATA, Oracle, Business Objects, MicroStrategy, Cognos, SQL Server/Developer etc.","Telecommuting not available
Travel not required"
777,"Full Time, Full-time",16,Competitive,"Analysis, Change Management, CMS, Data Warehouse, Developer, Development, Director, Genetic, Hardware, Manager, Management, Program Manager, Project, Project Management, Sales, Supervisor","Telecommuting not available
Travel not required"
778,"Full Time, Full-time",16,Competitive,"Analysis, Analyst, Business Requirements, Data Analysis, Genetic, Oracle, PL/SQL, Programmer, Programming, SQL, Testing","Telecommuting available
Travel not required"
779,"Full Time, Full-time",16,Competitive,"Analysis, Analyst, Business Objects, Data Analysis, Database, Data Warehouse, Excel, Genetic, IBM, Management, SalesForce","Telecommuting not available
Travel not required"
780,"Full Time, Full-time",16,Competitive,"Agile, Analysis, Business Intelligence, Development, Embedded, Genetic, Manager, Management, Project, Project Management, Project Manager, Testing","Telecommuting not available
Travel not required"
781,"Full Time, Full-time",16,Competitive,"Analysis, Architecture, Business Intelligence, CASE, Consulting, Database, Data Warehouse, Development, Director, Genetic, Hardware, Manager, Management, Program Manager, Project, Project Management, Project Manager, Scheduling, Teradata","Telecommuting not available
Travel not required"
782,Full Time,16,"65,000","Quantitative, Analytical, Operating Databases, Healthcare Experience, performance improvement, data analytics, Health Catalyst, Jvion, Cozeva, HHIE","Telecommuting not available
Travel not required"
783,Full Time,16,,"Agile, Analysis, Architecture, Automated, Configuration Management, CRM, Customer Service, Data Architecture, Database, Data Mart, Data Modeling, Data Warehouse, Developer, Development, Exchange, Genetics, Management, Modeling, Oracle, Release, SDLC, SOAP, SQL, SQL Server, Supervision, Testing, XML","Telecommuting not available
Travel not required"
784,"Full Time, Full Time",16,Depends On Experience,"Dimensional Modeling, SQL, ETL, PL/PGSQL, SQL Queries, Data Warehouse Model, ETL, optimization, pl/sql, AWS, oracle, mysql","Telecommuting not available
Travel not required"
785,Full Time,16,-,"Data Analysis, Healthcare Reimbursement, Identify Trends/Anomalies, Research & Development, Perform Root Cause Analysis, Query-based Extraction, SQL Knowledge, Coding","Telecommuting not available
Travel not required"
786,"Full Time, Full-time",16,Competitive,"Analysis, Architecture, Business Intelligence, Cognos, Consulting, Database, Data Warehouse, Development, Director, Genetic, Hardware, Manager, Management, Oracle, PMP, Program Manager, Project, Project Management, Project Manager, Sales","Telecommuting not available
Travel not required"
787,"Full Time, Full-time",16,Competitive,"Agile, Analysis, Analyst, Business Requirements, Data Analysis, Data Warehouse, Development, Genetic, Lifecycle, Management, Programming, Project, Quality Assurance, SAS, Scrum, SDLC, SQL, Testing","Telecommuting not available
Travel not required"
788,"Full Time, Full-time",16,Competitive,"Analysis, Analyst, Architecture, Automated, Business Intelligence, Data Architecture, Database, Data Mining, Developer, Development, Director, Genetic, Hadoop, Java, Linux, Metrics, Programming, Project, Python, Research, SAS, SDLC, SQL, Teradata, Unix, Validation, VB","Telecommuting not available
Travel not required"
789,Full Time,16,Market,"Python, R, Tableau, SPSS, SAS, STATA, Oracle, Business Objects, MicroStrategy","Telecommuting not available
Travel not required"
790,"Full Time, Full-time",16,Competitive,"Apache, Architecture, Configuration Management, Consulting, Data Warehouse, Development, Director, Genetic, Hadoop, Java, Management, Modeling, NoSQL, Product Engineering","Telecommuting not available
Travel not required"
791,"Full Time, Full-time",16,Competitive,"Algorithms, Analysis, Analyst, Business Analyst, Data Analysis, Development, Genetic, GUI, Management, Metrics, Object Oriented Programming, Programming, Scripts, SQL, Testing","Telecommuting not available
Travel not required"
792,Full Time,16,"100,000+","Backend, Big Data, Hadoop, Engineer, Spark, Programming, MapReduce, Object oriented design","Telecommuting not available
Travel required to 10%."
793,"Full Time, Full-time",16,Competitive,"Agile, Development, Director, ERP, Genetic, Hadoop, Management, Middleware, NoSQL, SDLC, Testing, Version Control","Telecommuting not available
Travel not required"
794,"Full Time, Full-time",16,Competitive,"Analysis, Analyst, Architecture, Automated, Business Requirements, Data Analysis, Database, Data Warehouse, Development, Director, Excel, Genetic, Lifecycle, Management, MS Office, Outlook, PowerPoint, Project, Quality Assurance, Quality Center, Tester, Testing, Test Plan, User Interface","Telecommuting not available
Travel not required"
795,"Full Time, Full Time",16,Depends On Experience,"SQL Scripts, Data Quality, Tableau, ETL","Telecommuting not available
Travel not required"
796,"Full Time, Full-time",16,Competitive,"Analysis, Business Intelligence, Business Intelligence Applications, Business Objects, Business Requirements, Consulting, Database, Data Warehouse, Developer, Development, Genetic, Management, OLAP, SAP, SQL, SQL Server, Testing","Telecommuting not available
Travel not required"
797,"Full Time, Full-time",16,Competitive,"Agile, Analysis, Analyst, Business Requirements, Development, Excel, Genetic, Hadoop, Iterative, Java, Management, PowerPoint, Project, Shell Scripting, Unix","Telecommuting not available
Travel not required"
798,Full Time,16,,"Analyst, Data Warehouse, Excel, Matlab, MySQL, mysql, Project, Python, SAS, Sales, SalesForce, SQL","Telecommuting not available
Travel not required"
799,"Full Time, Full-time",16,Competitive,"Analysis, Analyst, Architecture, Business Intelligence, Business Requirements, Data Analysis, DataStage, Data Warehouse, Development, Genetic, Hadoop, Informatica, Oracle, Shell Scripting, SQL, Unix","Telecommuting not available
Travel not required"
