company,date,detailUrl,jobTitle,job_listing_no,location,page
TSYS,2017-04-23,http://www.dice.com/job/result/10143991/R0000037-715?src=19,HR Business Partner,24851,"Columbus, GA",498
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/SJ2-UXManager190?src=19,User Experience Manager- paid relo - award winning s/w co,24852,"Lansing, MI",498
XDuce,2017-04-14,http://www.dice.com/job/result/10290201T/942011?src=19,Solutions Architect/ Functional Lead (Oracle ATG),24853,"Chicago, IL",498
Experis,2017-04-23,http://www.dice.com/job/result/COMSYSD/FOX_11218261-191?src=19,Sr. Java Developer,24854,"Ann Arbor, MI",498
"Capricorn Systems, Inc.",2017-04-20,http://www.dice.com/job/result/capricor/943756?src=19,Sr. Network Engineer (Sr. Network Analyst),24855,"Glen allen, VA",498
Infinity Technology Group,2017-04-11,http://www.dice.com/job/result/10429447/1046554?src=19,Sr. Financial Systems Analyst,24856,"Clayton, MO",498
Calance US,2017-04-23,http://www.dice.com/job/result/cxbcsi/Job28991?src=19,SAP PI/PO Developer,24857,"Buena Park, CA",498
Cypress Group,2017-04-19,http://www.dice.com/job/result/10106564/905814?src=19,Sr. Java Engineer,24858,"Boston, MA",498
"Chenega Government Consulting, LLC (CGC)",2017-04-23,http://www.dice.com/job/result/10125215/1700001022-948?src=19,Senior Network Engineer-CGC,24859,"Arlington, VA",498
3Ci,2017-04-23,http://www.dice.com/job/result/comga001/17244OAS?src=19,Sr. Recruiter,24860,"Carmel, IN",498
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/18097?src=19,Sr Network Engineer,24861,"Washington, DC",498
Aegistech Inc.,2017-04-23,http://www.dice.com/job/result/aegisoft/16841?src=19,Technical Writer,24862,"Summit, NJ",498
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/04130-0009037002?src=19,Network Engineer,24863,"Houston, TX",498
Regions Bank,2017-04-23,http://www.dice.com/job/result/10117872/T1701541?src=19,Desktop Services Technician,24864,"Gainesville, GA",498
Okaya Inc,2017-04-21,http://www.dice.com/job/result/10267824/968560?src=19,Java front- end Developer with Financial Background,24865,"Irving, TX",498
Ambrosia Infotech Ltd.,2017-04-20,http://www.dice.com/job/result/10206433/966135?src=19,Oracle Apps Framework,24866,"Alpharetta, GA",498
RecruitIQ Staffing,2017-04-23,http://www.dice.com/job/result/appblok/3422_6a1f5b838f9574a3024ca1acba4574c1?src=19,"Director of Clinical Applications (New York, NY)",24867,"Pittsburgh, PA",498
"iSpace, Inc",2017-04-22,http://www.dice.com/job/result/10106153/911649?src=19,Senior Product Manager,24868,"Culver City, CA",498
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/23567?src=19,Network/System Administrator II,24869,Qat-doha,498
"Marlabs, Inc",2017-04-18,http://www.dice.com/job/result/marlabnj/939162?src=19,PM (Banking),24870,"San Francisco, CA",498
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/LF2-133995892?src=19,Site Reliability Engineer,24871,"Redwood City, CA",498
Alion Science and Technology,2017-04-23,http://www.dice.com/job/result/10118964/23903-719?src=19,Lead Cyber Security Engineer-Machinery Controls,24872,"Philadelphia, PA",498
Omega Hires,2017-04-21,http://www.dice.com/job/result/90767976/55524?src=19,Senior Oracle PL/SQL Developer,24873,"Jersey City, NJ",498
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/ES1-136418412?src=19,"Senior Software Engineer - Cloud, Python",24874,"Edison, NJ",498
M & R Consultants Corporation,2017-04-19,http://www.dice.com/job/result/mrcc/938217?src=19,Senior Java Developer ESB Or Mule (10+ years),24875,"Newton, MA",498
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_190014BR?src=19,"Mgr, Product Management",24876,"Greenwood Village, CO",498
Confidential Company,2017-03-27,http://www.dice.com/job/result/10101487/17-00196?src=19,Research Support Specialist,24877,"Charlotte, NC",498
"Corpteq Solutions, Inc.",2017-04-17,http://www.dice.com/job/result/10116968/364861?src=19,.net developer local to MI,24878,"Ann Arbor, MI",498
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/17628?src=19,Senior Principal Network Engineer - TS/SCI - Hawaii;,24879,"Alexandria, VA",498
ASCII Group LLC,2017-04-21,http://www.dice.com/job/result/10117479/968519?src=19,"Pivotal Cloud Foundry (PCF) Administrator - Dublin, OH - 6 Months - A",24880,"Dublin, OH",498
Vectrus OMDAC,2017-04-11,http://www.dice.com/job/result/90882697/840543?src=19,Wide Area Network (WAN) Security Engineer,24881,KUWAIT CITY,498
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/DM2-136229520?src=19,"Senior Software Engineer - Ruby, Elixir",24882,"Irvine, CA",498
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/TL3-13653189?src=19,Android Software Developer,24883,"Dearborn, MI",498
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/11391?src=19,Plans and Engineering Functional Lead,24884,"Macdill Afb, FL",498
Ingersoll Rand,2017-04-16,http://www.dice.com/job/result/10398049/801571?src=19,Sr. Software Engineer (javascript),24885,"Broomfield, CO",498
Louisiana Economic Development,2017-04-18,http://www.dice.com/job/result/90833617/IBM037674?src=19,Structured Query Language (SQL) Developer,24886,"Monroe, LA",498
Net2Source Inc.,2017-04-07,http://www.dice.com/job/result/10271304/949969?src=19,ios developer with LinkedInID,24887,"Seattle, WA",498
LGS Innovations LLC,2017-04-13,http://www.dice.com/job/result/10121957/2986?src=19,Technical Support Engineer III  Instructor and Course Developer (TSS,24888,"Tampa, FL",498
The Astor Group,2017-04-22,http://www.dice.com/job/result/10112409/959184?src=19,Junior.net programmer for hedge fund,24889,"NEW YORK, NY",498
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITWQG1597286?src=19,Financials Systems Analyst - Oracle EBS,24890,"Irving, TX",498
Ascent,2017-04-23,http://www.dice.com/job/result/itca001/17-03436?src=19,Project Engineer,24891,"Fall River, MA",498
American Technology Consulting LLC,2017-04-20,http://www.dice.com/job/result/10488885/928722?src=19,Hadoop Developer  - H1B Visa Holders (No C2C),24892,"Seattle, WA",498
Iris Consulting,2017-04-19,http://www.dice.com/job/result/10518295/jw107?src=19,Integration Designer,24893,"Plymouth, MN",498
Nordstrom,2017-04-23,http://www.dice.com/job/result/10211957a/281347?src=19,Senior Software Engineer - Performance Test Automation Engineer,24894,"Seattle, WA",498
Valiant Solutions LLC,2017-04-21,http://www.dice.com/job/result/10119134/HLM_Cyber?src=19,Cyber Security Analyst,24895,"Washington, DC",498
Infinity Technology Group,2017-03-27,http://www.dice.com/job/result/10429447/49299?src=19,Sr. Front End Developer - JavaScript,24896,"Dallas, TX",498
Aditum,2017-03-28,http://www.dice.com/job/result/itsifl/815095?src=19,Splunk Administrator / Splunk Architect,24897,"San Francisco, CA",498
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/02710-9500334422?src=19,Abstract Coder,24898,"Saddle Brook, NJ",498
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/18507?src=19,Java Software Developer,24899,"Washington, DC",498
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITWQG1609663?src=19,VB.Net Developer,24900,"Coppell, TX",498
