job_listing_no,job_type,page,salary_info,technical_skills,travel_info
16251,Full Time,326,Depends On Experience,IOT M2M,"Telecommuting not available
Travel required to 100%."
16252,Full Time,326,130-150K,security,"Telecommuting not available
Travel not required"
16253,"Full Time, full time",326,open to market,"Programmer Analyst, Ellucian Colleague, University, SQl, Colleague Studio,","Telecommuting not available
Travel not required"
16254,C2H W2,326,$50/hr - $60/hr W2,"PEGA 7.1 or CSSA, PRPC, FSIF, SDLC, Development/Architecture experience","Telecommuting available
Travel not required"
16255,Full Time,326,,"Agile, AIX, Bash, Biometrics, Cisco, Consulting, Director, HTTP, Linux, Management, Metrics, PowerShell, Python, Testing, VMware, Windows","Telecommuting not available
Travel not required"
16256,"Full Time, Full Time",326,,"Analyst, Customer Service, Database, Development, Oracle, Project, SQL, Supervision","Telecommuting not available
Travel not required"
16257,Full Time,326,,"Lenel, SOC, medical, healthcare, security, physical security, HIPAA","Telecommuting not available
Travel not required"
16258,"C2H W2, 6+ months",326,,"Splunk, OSI 7-layer, Host Security, Network Security, Enterprise Security, GCED, GCIH","Telecommuting not available
Travel not required"
16259,Full Time,326,,"Algorithms, Android, Automated, C++, CSS, Development, Environmental, Hadoop, Java, JavaScript, Linux, Management, Python, Research, Scientific, Security, Software Engineer, Unix, Windows","Telecommuting not available
Travel not required"
16260,Full Time,326,,"Agile, Analysis, Analyst, Analytical Skills, Business Analyst, Business Requirements, CASE, Change Management, Development, Management, Modeling, Programming, Project, Testing, Use Case","Telecommuting not available
Travel not required"
16261,Full Time,326,,"Agile, AngularJS, Biometrics, Consulting, Developer, Development, HTTP, J2EE, Java, JavaScript, JDBC, jQuery, Management, SQL","Telecommuting not available
Travel not required"
16262,Full Time,326,"130,000","Java, RESTful, ""RabbitMQ OR Kafka"", ""MongoDB OR PostgreSQL""","Telecommuting not available
Travel not required"
16263,"Full Time, Perm",326,Depends On Experience,"IT Engineering, network, CCNP, CCNA Cyber Security, Mobile network","Telecommuting not available
Travel not required"
16264,"Full Time, 12 Months",326,65.00,"Cisco, WAN, AS4 Routers, TCP/IP","Telecommuting not available
Travel not required"
16265,"Contract W2, 12 months",326,$40 - $50 per annum,"QA, analyst, bank, call center, aspect, assurance, customer","Telecommuting not available
Travel not required"
16266,Contract W2,326,Negotiable,"system engineer,systems engineer, system, systems, engineer, active directory, retail","Telecommuting not available
Travel not required"
16267,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Contract",326,,"Analysis, Analyst, Analytical Skills, Business Analyst, Business Requirements, CASE, Defect Management, Development, Director, Excel, Lifecycle, Management, MS Office, PowerPoint, Project, Project Management, Quality Center, Scripts, Security, Testing, Validation, Windows","Telecommuting not available
Travel not required"
16268,"Full Time, Contract",326,,".Net, Analytical Skills, COBOL, Consulting, CSS, DB2, Developer, Development, EDI, HTML, IIS, Java, Manager, Management, Programming, Project, Project Management, SOAP, SQL, SQL Server, VB, Windows, XML","Telecommuting not available
Travel not required"
16269,"Contract Independent, Contract W2, Contract to Hire",326,Depends On Experience,"C, C++ and Java","Telecommuting not available
Travel not required"
16270,Contract W2,326,Negotiable,"CCNP, Cisco iOS, Nexus NX-OS and or ASR iOS-XR, routing and switching BGP, EIGRP, MPLS","Telecommuting not available
Travel not required"
16271,Full Time,326,,".Net, Architecture, Business Objects, ERP, Hardware, JSP, Lifecycle, Management, SAP","Telecommuting not available
Travel not required"
16272,Full Time,326,Depends On Experience,"HTML, CSS, Javascript, Axure, Invision, and the Adobe Creative Suite","Telecommuting not available
Travel not required"
16273,Full Time,326,,"Agile, Analysis, Automated, Bash, Biometrics, Cisco, Consulting, Director, Firmware, Hardware, HTTP, Linux, Management, Metrics, Networks, PowerShell, Python, Security, Testing, VMware, Windows","Telecommuting not available
Travel not required"
16274,"Contract Corp-To-Corp, Contract Independent, C2H Corp-To-Corp, C2H Independent, Long Term",326,Negotiable,"C#, MVC, jQuery, AngularJS, REST API, Microsoft Unity","Telecommuting not available
Travel not required"
16275,"Full Time, Full Time",326,,"Algorithms, Analysis, Architecture, Business Requirements, COBOL, DB2, Development, Excel, IBM, IDMS, JCL, Management, PowerPoint, Programming, Project, QA, Security, Software Engineer, SQL, Testing, TSO","Telecommuting not available
Travel not required"
16276,Contract W2,326,Negotiable,"ios developer, mobile, web","Telecommuting not available
Travel not required"
16277,"Contract Corp-To-Corp, Contract Independent, Contract W2, Long Term",326,open,Edifecs Developer with EDI experience,"Telecommuting not available
Travel not required"
16278,"Contract W2, Contract",326,,"Jira, Gradle, GIT, Stash, Jenkins, and Asgard.","Telecommuting not available
Travel not required"
16279,Full Time,326,,"API, Architecture, Database, Developer, Development, Exchange, IVR, Object Oriented Design, Performance Testing, Programming, QA, Research, SQL, Testing","Telecommuting not available
Travel not required"
16280,"Contract W2, 12-18 months",326,Negotiable,"Counterparty Credit Risk, Middle Office Risk, Front Office Market Risk, quant degree, finance degree, Python, SQL, VBA, risk analytics, modelling","Telecommuting not available
Travel not required"
16281,Full Time,326,open,"corporate tax, accounting, SharePoint, Microsoft office","Telecommuting not available
Travel not required"
16282,Full Time,326,,"Analysis, Database, Development, Electrical Engineer, Environmental, Hardware, HTTP, Laboratory, Management, Mechanical, Modeling, Project, Project Management, Research, Security, Simulation, Surveillance, Testing","Telecommuting not available
Travel not required"
16283,Full Time,326,Negotiable,Project Coordinator,"Telecommuting not available
Travel not required"
16284,"Contract Corp-To-Corp, Contract Independent, Contract W2",326,Depends On Experience,"Webfocus, SQL, Business Intelligence","Telecommuting not available
Travel not required"
16285,Full Time,326,,"Analysis, Analyst, Business Requirements, Development, Lifecycle, Project, Scientific, Testing, Validation","Telecommuting not available
Travel not required"
16286,"Contract Corp-To-Corp, Contract Independent, Contract W2",326,Market,"Magento,Magento developer,Magento lead,Magento architect,Magento 2.0,Web API,Magento framework,Custom Module Development ,PHP","Telecommuting not available
Travel not required"
16287,"Full Time, Direct Hire",326,,"Algorithms, Civil, Hadoop, Java, MongoDB, NoSQL, Programming, Python, Ruby, Software Engineer","Telecommuting not available
Travel not required"
16288,Full Time,326,,"Business Intelligence, Customer Service, Development, Embedded, Hardware, Java, Manager, Management, Recruiter","Telecommuting not available
Travel not required"
16289,Contract W2,326,,.NET Developer,"Telecommuting not available
Travel not required"
16290,Full Time,326,"$125,000/yr.","Salesforce, Apex, Web Services","Telecommuting not available
Travel not required"
16291,"Full Time, Full Time",326,Depends On Experience,Gemfire Admin/ Engineer,"Telecommuting not available
Travel not required"
16292,"Contract Independent, Contract W2, 6+ Months Contract",326,Depends On Experience,"PowerShell, Bash, Perl, or Python, AWS, Google Cloud, Azure, and/or Openstack","Telecommuting not available
Travel not required"
16293,"Contract Independent, Contract W2, C2H Independent, C2H W2",326,,"Agile, Biometrics, Consulting, Foundation, HTTP, Library, Manager, Management, Metrics, PMP, Project, Project Management, Project Manager, Quality Assurance, Supervision","Telecommuting not available
Travel not required"
16294,Full Time,326,Competitive,"Algorithms, Analysis, Capacity Planning, Development, HTTP, IBM, Java, Linux, Protocols, Ruby, Software Engineer","Telecommuting not available
Travel not required"
16295,Full Time,326,Negotiable,"Workday certification, 2-3 years implementing Workday HCM","Telecommuting not available
Travel required to 100%."
16296,Full Time,326,Depends On Experience,"Analysis, Analytical Skills, Call Center, Capacity Planning, Development, Director, Excel, Laptop, Manager, Management, Microsoft Excel, PowerPoint, Programming, Release, SAS, Sales, SQL","Telecommuting not available
Travel not required"
16297,"Full Time, Mid-Career",326,Competitive,Computer Specialist/ All Other,"Telecommuting not available
Travel not required"
16298,Full Time,326,,"Algorithms, JavaScript, Libraries, Programming","Telecommuting not available
Travel not required"
16299,"Contract Independent, Contract W2, Long-Term Contract",326,Depends On Experience,"Microsoft Office - Excel, PowerPoint, Word, Outlook and Lync","Telecommuting not available
Travel not required"
16300,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",326,Depends On Experience,"""Salesforce Lead"" ""Cloud Integration"" ""TDD"" ""Test driven development"" ""integrations"" ""API"" ""Mulesoft"" ""Information Power center""","Telecommuting not available
Travel not required"
