job_listing_no,job_type,page,salary_info,technical_skills,travel_info
13801,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Contract",277,,"Analysis, Java, jQuery, JSP, Oracle, Wireless","Telecommuting not available
Travel not required"
13802,"Contract Independent, Contract W2",277,BASED ON EXPERIENCE,"DEVOPS, IT TESTING MANAGEMENT, AGILE FRAMEWORKS, CONTINUOS INTEGRATION CONTINUOS DELIVERY, CI/CD, SOFTWARE TESTING ENGINEERING","Telecommuting not available
Travel not required"
13803,Full Time,277,Negotiable,See job description,"Telecommuting not available
Travel not required"
13804,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time",277,Depends On Experience,"Cassandra, Java","Telecommuting not available
Travel not required"
13805,"Full Time, Full-time",277,,"Accounting, Analyst, Database, Foundation, Management, Metrics, PeopleSoft, Supervision","Telecommuting not available
Travel not required"
13806,Full Time,277,Depends On Experience,"GitHub, Chef, Artifactory, Bamboo, Hudson/Jenkins, Atlas, Cucumber Linux Cloud related technologies: AWS, Azure, GCE, or OpenStack Docker, Puppet, Salt, Ansible, Chef, Terraform GitHub, Chef, Artifact","Telecommuting not available
Travel not required"
13807,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",277,,"3D, Exchange, Management, MCP, MCSE, Metrics, PHP, Security, SQL, SQL Server","Telecommuting not available
Travel not required"
13808,Full Time,277,Negotiable,"peoplesoft NA payroll, global pay, systems analyst","Telecommuting not available
Travel not required"
13809,"Contract Corp-To-Corp, Contract Independent, Contract W2, 3+ Months",277,Negotiable,"IT General Control, SOX","Telecommuting not available
Travel not required"
13810,Full Time,277,-,Key Skills & Experience > Proven ability to manage all aspects of complex projects and ensure progress > Unique combination of analytical and creative skills with attention to detail > Pr,"Telecommuting not available
Travel not required"
13811,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time, 6+ months",277,Depends On Experience,"Azure Solution Architect,Azure API Management, Security, Cloud-to-Cloud Integration","Telecommuting not available
Travel not required"
13812,"Contract Corp-To-Corp, Contract Independent, Contract W2, 6 - 12 months plus",277,Depends On Experience,Atlassian System Administration,"Telecommuting available
Travel not required"
13813,Full Time,277,Competitive,"Aerospace, Development, Embedded, Embedded Software, Hardware, HTTP, Java, Linux, Object Oriented Programming, Programming, Software Engineer","Telecommuting not available
Travel not required"
13814,,277,,,"Telecommuting not available
Travel not required"
13815,"Full Time, Direct Hire",277,Depends On Experience,"Obeject Oriented, Java, C++","Telecommuting not available
Travel not required"
13816,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2, 12 months",277,Negotiable,"Business Analyst, Market Risk Management, Equities and Derivatives, Compliance","Telecommuting not available
Travel not required"
13817,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2",277,$135k to $150k,strong Object Oriented skills combined with technical leadership abilities. Solid expertise in various enterprise server side technologies needed as well as strong SQL skills.Knowledge of Agile/ Scrum,"Telecommuting not available
Travel not required"
13818,"Contract W2, 06 months",277,Depends On Experience,RTT/Irisview/Nokia/Lucent/CDMA,"Telecommuting not available
Travel not required"
13819,"Contract Corp-To-Corp, Contract Independent, C2H Corp-To-Corp, C2H Independent, Long Term",277,Negotiable,"C#, MVC, jQuery, AngularJS, REST API, Microsoft Unity","Telecommuting not available
Travel not required"
13820,Contract W2,277,$0.00 - $60.00 per hour,Supply Chain Management Application Consultant 1,"Telecommuting not available
Travel not required"
13821,,277,,,"Telecommuting not available
Travel not required"
13822,"Full Time, Direct Hire",277,,"Analysis, Developer, Development, Management, Programming, Software Engineer, XML","Telecommuting not available
Travel not required"
13823,Full Time,277,Unspecified,"UX, ""User Experience""","Telecommuting not available
Travel not required"
13824,"Contract Independent, 3 months",277,Market (W2 or C2C),Identity and access management admin,"Telecommuting not available
Travel not required"
13825,Full Time,277,Competitive,"Aerospace, Algorithms, Analysis, Architecture, Developer, Development, HTTP, Mathematical, Mathematical Models, Modeling, Physics, RF, Simulation, System Architecture","Telecommuting not available
Travel not required"
13826,"Full Time, FULL TIME",277,Depends On Experience,Project Management.,"Telecommuting not available
Travel not required"
13827,"Full Time, Full Time",277,,"BIND, Development, Genetics, HTML, IBM, Management, Mobile App Development, Project, Project Management, SAP, Sales, Test Plan","Telecommuting not available
Travel not required"
13828,"Contract Corp-To-Corp, Contract Independent, Contract W2",277,Market,"SAP, Core HR Implementation, US Payroll and Benefits Administration","Telecommuting not available
Travel not required"
13829,"Full Time, Full-Time/Regular",277,,"Architecture, DNS, Exchange, Hardware, Management, Networking, Protocols, Research, SAP, Scripts, Security, Systems Administrator, VMware, vSphere, Windows, Windows 7","Telecommuting not available
Travel not required"
13830,Full Time,277,,"Analysis, Analyst, Analytical Skills, Business Requirements, CISSP, Database, Development, Director, Encryption, ISO, Management, Networking, Protocols, Research, Risk Management, Security, SOX, Testing, Unix, Windows","Telecommuting not available
Travel required to 25%."
13831,"Contract W2, 8+ Months",277,Competitive,Project Manager Large Scope,"Telecommuting not available
Travel not required"
13832,Full Time,277,Competitive,"Analysis, Analyst, CISSP, Development, Hardware, HTTP, Management, MCSE, Networking, Networks, Release, Research, Risk Management, Routers, Security, Switches, Testing, Validation","Telecommuting not available
Travel not required"
13833,"Full Time, Full-time",277,,"Consulting, CRM, Development, Management, Metrics, PL1, Project, Research, Security, SQL","Telecommuting not available
Travel not required"
13834,"Contract Corp-To-Corp, Contract Independent, Contract W2, 1+year",277,,"state procurement process/procedure,riting/analyzing Requests for Proposal (RFP),Invitation to Bid (ITB),Project Management services","Telecommuting not available
Travel not required"
13835,"Full Time, Direct Hire",277,Depends On Experience,"Telecom network, Telephony, VoIP","Telecommuting not available
Travel not required"
13836,Contract W2,277,,IT Support Analyst,"Telecommuting not available
Travel not required"
13837,Full Time,277,market,"CDP, DMP, Audience Management, Tag Management, Digital Analytics, SQL, Marketo or other marketing automation platform","Telecommuting not available
Travel not required"
13838,"Contract W2, 12 MO+",277,Negotiable,"erp, workday, business systems analyst, project manage, workflow diagrams","Telecommuting not available
Travel not required"
13839,Contract W2,277,Depends On Experience,"Windows 10, Customer Service","Telecommuting not available
Travel not required"
13840,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",277,,"Analysis, Analyst, Analytical Skills, CASE, CMS, Customer Service, Development, EDI, Excel, Exchange, Management, Metrics, PC, PowerPoint, Programming, Project, Research, SQL, Testing, Use Case","Telecommuting not available
Travel not required"
13841,Full Time,277,-,Must have the following skills: * Network Systems Monitoring tools management * Network Logs Management * Security Information and Even Management * Security Vulnerability M,"Telecommuting not available
Travel not required"
13842,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",277,,"3D, Exchange, Management, MCP, MCSE, Metrics, PHP, Security, SQL, SQL Server, Windows","Telecommuting not available
Travel not required"
13843,Full Time,277,,"Agile, Architecture, Configuration Management, Development, Director, Foundation, Linux, Management, Metrics, Networking, Programming, Unix","Telecommuting not available
Travel not required"
13844,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 6 to 9 months",277,Depends On Experience,Remedy ITSM BA,"Telecommuting not available
Travel not required"
13845,"Full Time, Full-time",277,,"Analyst, CASE, Consulting, Development, Director, Manager, Management, QA, Sales","Telecommuting not available
Travel required to 50%."
13846,"Contract W2, C2H W2, 12 months",277,$45/hr W2,"Linux, Unix, TCP/IP, Unix Shell Scripts, Perl, Python, SSH, NFS, DNS, LDAP, Kerberos, VMware, Hyper-V, KVM, Puppet, Chef, Ansible, Salt, Hadoop, ElasticSearch, Flume, NetApp","Telecommuting not available
Travel not required"
13847,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 12+ Months",277,Negotiable,IIS WebLogic Apache,"Telecommuting not available
Travel not required"
13848,C2H W2,277,,iOS Developer,"Telecommuting not available
Travel not required"
13849,Full Time,277,$67000.00 - $104000.00 per annum,IT Business Analyst,"Telecommuting not available
Travel not required"
13850,Contract Corp-To-Corp,277,As per Market,"Tableau, SQL, BI, Qlickview, Spotfire","Telecommuting not available
Travel not required"
