company,date,detailUrl,jobTitle,job_listing_no,location,page
Prosum,2017-04-19,http://www.dice.com/job/result/prosum/SC16472?src=19,Sr. Data Engineer,1051,"Playa Vista, CA",22
"Vector Consulting, Inc",2017-04-21,http://www.dice.com/job/result/vector/MK8215?src=19,Data Architect with Primavera,1052,"Columbia, SC",22
York Solutions,2017-04-22,http://www.dice.com/job/result/york/RP_DA?src=19,Data Analyst,1053,"Naperville, IL",22
Allstate Insurance,2017-04-22,http://www.dice.com/job/result/RTX172370/64735?src=19,Enterprise Data Management Lead,1054,"Northbrook, IL",22
TechSpace Solutions Inc.,2017-04-20,http://www.dice.com/job/result/90977120/964152?src=19,Big Data Technical Specialist,1055,"Wilmington, DE",22
Princeton Information Ltd,2017-04-22,http://www.dice.com/job/result/cxprince/17-03603?src=19,Big Data Developer,1056,"Tampa, FL",22
Eliassen Group,2017-04-22,http://www.dice.com/job/result/cxelisen/261565?src=19,Data Analyst,1057,"West Hartford, CT",22
MUFG,2017-04-22,http://www.dice.com/job/result/uboc/10013123-WD?src=19,"Regulatory Reporting Data Analyst, Vice President, Financial Data Solutions",1058,"Tempe, AZ",22
"InfoVision, Inc.",2017-04-12,http://www.dice.com/job/result/infotx/AK-HadoopETL?src=19,Senior BigData Hadoop Consultant with ETL- Data Modeling exp,1059,"San Jose, CA",22
SMCI,2017-04-21,http://www.dice.com/job/result/smci/A170133?src=19,"Enterprise Architect - Big Data/Big Data on Cloud Master Data Mgmt., Data Governance",1060,"Torrance, CA",22
Digital Technology Solutions,2017-04-21,http://www.dice.com/job/result/10122283/847108?src=19,Data Analyst,1061,"Charlotte, NC",22
Alpha Net Consulting LLC,2017-04-21,http://www.dice.com/job/result/10195458/K0189?src=19,ETL/Data Warehouse Engineer,1062,"Southbury, CT",22
Software Guidance & Assistance,2017-04-22,http://www.dice.com/job/result/sgainc/17-01432?src=19,Data Analyst,1063,"Dallas, TX",22
"Shimento, Inc.",2017-04-21,http://www.dice.com/job/result/10126196/17-00050?src=19,data architect,1064,"san ramon, CA",22
Strategic IT Staffing,2017-04-22,http://www.dice.com/job/result/10204742/JO170411260-344?src=19,Healthcare Data Analyst,1065,"San Jose, CA",22
NORTHROP GRUMMAN,2017-04-22,http://www.dice.com/job/result/ngitbot/17008061?src=19,Data Management Analyst 5-18243,1066,"Redstone Arsenal, AL",22
Matlen Silver,2017-04-19,http://www.dice.com/job/result/10113579/892130?src=19,Data Analyst,1067,"Charlotte, NC",22
KirkSearch,2017-04-15,http://www.dice.com/job/result/10286986/865371?src=19,Sr Big Data Engineer for Mobile Video Adserving,1068,"Mountain View, CA",22
Apidel Technologies,2017-04-21,http://www.dice.com/job/result/10509960/324_AT1?src=19,"Big Data Developer - Akka, Spark & Scala",1069,"Plymouth Meeting, PA",22
"TEKsystems, Inc.",2017-04-22,http://www.dice.com/job/result/10105424/5977182-97?src=19,Data Analyst,1070,"Durham, NC",22
"DEEGIT, INC.",2017-04-21,http://www.dice.com/job/result/10105937/944415?src=19,PolicyCenter Data Migration Architect,1071,"Oak Park, IL",22
SMCI,2017-04-21,http://www.dice.com/job/result/10301550/B170015?src=19,"Developer - ETL, Business Intelligence, Data Warehouse",1072,"San Diego, CA",22
"Pyramid Consulting, Inc.",2017-04-07,http://www.dice.com/job/result/pyrmid/893661?src=19,Sr. Business Data Analyst (QlikView),1073,"Plano, TX",22
s.com,2017-04-18,http://www.dice.com/job/result/cxcrstff/959853?src=19,Domain Data Architect,1074,"Franklin, TN",22
Cygnus Professionals,2017-04-17,http://www.dice.com/job/result/10426508/136668?src=19,Big Data Program Manager,1075,"Costa Mesa, CA",22
"InnoCore Solutions, Inc.",2017-04-21,http://www.dice.com/job/result/10120357/SQL-4579?src=19,Data Modeler,1076,"Dallas, TX",22
"VDart, Inc.",2017-04-21,http://www.dice.com/job/result/10330808/A14_ETLDevelop?src=19,"ETL/Data warehouse Developer (MDM, SQL, Tableau,Python, Java)",1077,"San Jose, CA",22
Tristaff Search,2017-03-29,http://www.dice.com/job/result/tstaffsd/17032901-P?src=19,FullStack Java Developer  Cutting Edge Big Data Analytics Platform,1078,"San Diego, CA",22
Bay Area Techworkers,2017-04-11,http://www.dice.com/job/result/bati/JO-170411-02781?src=19,Data Analyst,1079,"RTP, NC",22
Matlen Silver,2017-04-11,http://www.dice.com/job/result/matlennj/922883?src=19,Data Analyst,1080,"Pennington, NJ",22
Kavi Software,2017-04-21,http://www.dice.com/job/result/10119154/DCBA0001?src=19,Data Center Busines Analyst,1081,"ATLANTA, GA",22
Cognizant Technology Solutions,2017-03-28,http://www.dice.com/job/result/aces/00021605361?src=19,Big data engineer,1082,"Sunnyvale, CA",22
"T. Rowe Price Associates, Inc",2017-04-22,http://www.dice.com/job/result/RTL318549/28294?src=19,Data Center Operations Triage Technician - 2nd Shift Wednesday-Sunday,1083,"Owings Mills, MD",22
Kaiser Permanente,2017-04-03,http://www.dice.com/job/result/kais/540025?src=19,Medicare Data Management Lead,1084,"Oakland, CA",22
ApTask,2017-04-03,http://www.dice.com/job/result/10441603/942989?src=19,Data Modeler,1085,"Brooklyn, NY",22
Staffing Headquarters LLC.,2017-04-20,http://www.dice.com/job/result/10454717/935786?src=19,Business Data Engineer - W2,1086,"Sunnyvale, CA",22
Vertex Solutions Inc.,2017-04-21,http://www.dice.com/job/result/10310739/DA-Plano?src=19,Data Analytics Specialist - W2 only,1087,"Plano, TX",22
Kaztronix,2017-04-22,http://www.dice.com/job/result/10195552/17-00672?src=19,Data Engineer,1088,"Denver, CO",22
Tavant,2017-04-13,http://www.dice.com/job/result/10110807/46546?src=19,QA Lead Big Data,1089,"Costa Mesa, CA",22
Fidelity & Guaranty Life,2017-04-22,http://www.dice.com/job/result/10453971/1136?src=19,Data Analyst,1090,"Des Moines, IA",22
MUFG,2017-04-22,http://www.dice.com/job/result/uboc/10013115-WD?src=19,"Leasing, Vice President, Financial Data Solutions (FDS)",1091,"Tempe, AZ",22
ISO,2017-04-21,http://www.dice.com/job/result/10123386/935692?src=19,Data Center Operator,1092,"Jersey City, NJ",22
Vertex Solutions Inc.,2017-04-21,http://www.dice.com/job/result/10310739/DA-WI?src=19,Data Analytics Specialist - W2 only,1093,"Sun Prairie, WI",22
