job_listing_no,job_type,page,salary_info,technical_skills,travel_info
3651,"Full Time, Full-time",74,Competitive,"Analysis, Analyst, Analytical Skills, Data Analysis, Database, Developer, Development, Management, Project, SQL","Telecommuting not available
Travel not required"
3652,"Full Time, Full-time",74,Competitive,"Analysis, Analyst, Cognos, Database, Development, Excel, Genetic, Informatica, Management, PowerPoint, Project, SQL","Telecommuting not available
Travel not required"
3653,"Full Time, FULLTIME",74,$47.93 - $59.89/Hour,"ACL, Cisco, HTTP, LAN, Management, Networking, Network Engineer, Networks, Project, Protocols, Security, Testing, UPS, VPN, WAN, Wireless","Telecommuting not available
Travel not required"
3654,"Full Time, Full-time",74,Competitive,"Analysis, Architecture, Business Intelligence, Data Analysis, Database, Development, Director, Genetic, Hadoop, Java, Linux, Management, Metrics, Programmer, Programming, Project, Python, SAS, SDLC, Security, SQL, Teradata, Unix, VB","Telecommuting not available
Travel not required"
3655,Full Time,74,,"Agile, Developer, Development, Hadoop, Java, Manager, Management, Programming, Project, Python","Telecommuting not available
Travel not required"
3656,"Full Time, Full-time",74,Competitive,"Analysis, Analyst, Architecture, Data Modeling, Developer, Development, Genetic, Hardware, IVR, Java, Modeling, System Architecture, Video","Telecommuting not available
Travel not required"
3657,"Full Time, Full Time",74,Depends On Experience,"sql, mysql, postgres, qa, data validation, test plans,","Telecommuting not available
Travel not required"
3658,"Full Time, Full-time",74,Competitive,"Analysis, Architecture, Business Intelligence, Cognos, Consulting, Database, Data Warehouse, Development, Director, Genetic, Hardware, Manager, Management, Microsoft Project, Oracle, PMP, Project, Project Management, Project Manager, SAS, Teradata","Telecommuting not available
Travel required to 75%."
3659,"Full Time, Full-time",74,Competitive,"Agile, Analysis, Database, DataStage, Data Warehouse, Developer, Development, Genetic, IBM, Management, Middleware, Oracle, Perl, Project, Scheduling, Scripts, Scrum, SDLC, Shell Scripts, Software Engineer, SQL, Testing, Unix","Telecommuting not available
Travel not required"
3660,Full Time,74,Depends On Experience,"Natural Language Processing, Software, Software System*, Software Engineer*, NLP, Big Data, Cloud, Hadoop","Telecommuting not available
Travel not required"
3661,Full Time,74,0.00,"SQL, PL/SQL, Oracle Forms, Oracle Reports, ETL Tool, Data Conversion","Telecommuting not available
Travel not required"
3662,"Full Time, Full-time",74,Competitive,"Architecture, Data Architecture, Database, Data Modeling, Data Warehouse, Development, ERwin, Genetic, Informatica, Management, Modeling, Supervision, Teradata","Telecommuting not available
Travel not required"
3663,"Full Time, Full-time",74,Competitive,"Analysis, Analyst, Apache, Architecture, Blueprint, Business Analyst, Business Requirements, CASE, Data Analysis, Database, Data Modeling, Development, Genetic, Hadoop, Hardware, Manager, Management, Modeling, Programming, Project, Project Management, Project Manager, Python, Research, Testing, Use Case","Telecommuting not available
Travel required to 25%."
3664,"Full Time, Full-time",74,Competitive,"Algorithm, Analysis, Architecture, Business Intelligence, Consulting, Developer, Development, Genetic, Hadoop, Hardware, Java, Management, MongoDB, NoSQL, Physics, Programming, Project, Project Management, Research, SAS, SQL, Supervision, Teradata, Unix","Telecommuting not available
Travel not required"
3665,Full Time,74,Negotiable,"Digital IT, Java Developer, Spring Framework, J2EE, JSP, CSS, jQuery, HTML, Javascript, Ajax, JSTL","Telecommuting not available
Travel not required"
3666,"Full Time, Full-time",74,Competitive,"Agile, Analysis, Analyst, Business Analyst, Excel, Genetic, Manager, Management, MS Office, Networking, PowerPoint, Project, Project Management, Project Manager, Scrum","Telecommuting not available
Travel not required"
3667,Full Time,74,,"Agile, Analysis, Analyst, Architecture, Business Requirements, CASE, Data Architecture, Database, Developer, Development, Disaster Recovery, Environmental, Management, Modeling, Project, Security, SQL, Testing, UPS","Telecommuting not available
Travel not required"
3668,Full Time,74,$45 - $85 K,"Reporting Platform, Technical Specialist, ERP, SQL Server, Reporting, Data Systems, Data Warehouses, Data Marts, Installation, Tuning, Maintenance, Enhancement Support, BI Reporting","Telecommuting not available
Travel not required"
3669,"Full Time, Full-time",74,Competitive,"Analysis, Analyst, Business Intelligence, Data Analysis, Data Warehouse, Developer, Development, Director, Exchange, Genetic, Informatica, Management, Oracle, Project, SQL, User Interface","Telecommuting not available
Travel not required"
3670,Full Time,74,Market,"Microsoft Office Products, Microsoft Windows Operating Systems, web browsers, web application servers, Oracle or other SQL databases, Linux/Unix","Telecommuting not available
Travel not required"
3671,"Full Time, Full-time",74,Competitive,"Analysis, Architecture, Blueprint, Business Intelligence, Business Objects, Cognos, Database, Data Mart, Data Warehouse, Development, Director, ERwin, Exchange, Genetic, Graphics, Hadoop, IBM, Informatica, Lifecycle, Management, Oracle, Project, Rational, SAS, Sales, SQL, SQL Server, Teradata","Telecommuting not available
Travel required to 30%."
3672,Full Time,74,Negotiable,". A successful candidate will have experience in a call center, excellent problem solving skills.","Telecommuting not available
Travel not required"
3673,Full Time,74,Negotiable,"Java, Scala, Apache Spark, Storm, Hadoop MR, Kafka, Git, Subversion","Telecommuting not available
Travel not required"
3674,"Full Time, Full-time",74,Competitive,"Analyst, Cabling, Excel, Genetic, Hardware, Microsoft Excel, Outlook, PC, Project, Security","Telecommuting not available
Travel required to 25%."
3675,Full Time,74,.,"Design, Develop, Test, SQL Server, SSAS, SRS, Cube Design.ASP.Net MVC, WCF, Linq, Ajax, WF, WPF, SilverLight, Team Foundation Server and SharePoint, Data Mining","Telecommuting not available
Travel not required"
