job_listing_no,job_type,page,salary_info,technical_skills,travel_info
27601,Full Time,553,Based on Experience,Recent College Graduates,"Telecommuting not available
Travel not required"
27602,Full Time,553,1.00,delivery client agile offshore proposals delivery sow director,"Telecommuting not available
Travel required to 50%."
27603,"Contract Independent, Contract W2, Up to 3 months",553,Market,Procurement Project Manager,"Telecommuting not available
Travel not required"
27604,Full Time,553,,".Net, API, Foundation, GIT, HTTP, Jenkins, Mathematical, Protocols, Scientific, Security, Software Engineer, Specification","Telecommuting not available
Travel not required"
27605,Full Time,553,Depends On Experience,"Analysis, Architecture, Development, Firewall, Linux, Management, Metrics, Networking, Protocols, Research, Security, Supervisor, VPN, Windows","Telecommuting not available
Travel not required"
27606,"Full Time, Full-time, Employee",553,"$95,000 - $130,000","J2EE, JSP, JUnit, Spring, RESTful Web Services, OOP/Design Pattern, Hibernate, AngularJS - J2EE, JSP, JUnit, Spring, RESTful Web Services, OOP/Design Pattern, Hibernate, AngularJS","Telecommuting not available
Travel not required"
27607,"Contract W2, 6 + months",553,40.00 hr,"Quality Center, ALM, SQL, Oracle, UNIX, QTP, SDLC","Telecommuting not available
Travel not required"
27608,Full Time,553,80000-120000,"Full Stack Analytics Engineer, JavaScript, Scala, Akka, HTML5, CSS","Telecommuting not available
Travel not required"
27609,"C2H W2, 3-6 mo contr to perm",553,$45k - $55k,"Tier II Help Desk experience, great interpersonal skills","Telecommuting not available
Travel not required"
27610,"Contract Independent, Contract W2, 9+ months",553,Market,Senior DBA,"Telecommuting not available
Travel not required"
27611,"Full Time, Full Time",553,,"Architecture, CISSP, Management, Networking, Security, Telecom, Testing","Telecommuting not available
Travel not required"
27612,Contract W2,553,,Staffing - Finance Coordinator II,"Telecommuting not available
Travel not required"
27613,"Contract W2, 12 Months",553,,"Java, J2EE, Web Services","Telecommuting not available
Travel not required"
27614,Full Time,553,,"Analysis, Analyst, Architecture, Firewall, Management, Networks, Risk Management, Security, Simulation","Telecommuting not available
Travel not required"
27615,"Contract W2, 3+ months",553,Depends On Experience,"admnistration of network/security systems and applications, planning and designing security s/w,documentation....","Telecommuting not available
Travel not required"
27616,"Contract W2, 12 Months +",553,$40 to $60 per hour,"c, c++, stl, python, graphic, game, maya, mel, api, ps4, script,","Telecommuting not available
Travel not required"
27617,"Full Time, Perm",553,Competitive,"Analytical, Application, Applications, Crystal Reports, Database, Development, Director, Hardware, IT, IT Manager, Manager, Management, Quality, Software, SQL, SQL Server, Systems, Testing","Telecommuting not available
Travel not required"
27618,Full Time,553,,"Anti-Virus, Automated, DNS, Encryption, Exchange, Hardware, Help Desk, iOS, Laptop, Management, Outlook, Peripherals, Research, Security, Simulation, TCP/IP, Technician, VPN, Windows, Windows XP, Windows 7","Telecommuting not available
Travel not required"
27619,Full Time,553,$50.00 to $65.00 per hour,"Analyst, Business Analyst, Development, EDI, Excel, SQL","Telecommuting not available
Travel not required"
27620,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Independent",553,$58/hr + DOE,"JAVA Backend, Spring Framework, Angular JS, DB2","Telecommuting not available
Travel not required"
27621,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",553,Negotiable,"Agile, Apache, API, Business Requirements, Developer, Development, Java, Jenkins, Middleware, Project, Research, Security, SOAP, Testing","Telecommuting not available
Travel not required"
27622,Full Time,553,,"Analyst, Architecture, Database, Development, Environmental, Excel, Lifecycle, Management, PowerPoint, Project, Project Management, Sales, Scripts, Security, SQL, Testing","Telecommuting not available
Travel not required"
27623,Full Time,553,$110K,"SQL, SQL Server, SQL Development, SSIS, SSRS, TFS","Telecommuting not available
Travel not required"
27624,,553,BASED ON EXPERIENCE,"LEAD, BUSINESS SYSTEMS ANALYST, BSA, BUSINESS ANALYST, FINANCIAL SERVICES, FINANCIAL, BANKING, BANK","Telecommuting not available
Travel not required"
27625,"Contract W2, 6 months+",553,Negotiable,"Policy Center, PC v7, Java, MS SQL, Java , Java EE ,Guidewire, .Net/C#,  Java Web Services, JBoss ESB, ANT, Subversion, UML","Telecommuting not available
Travel not required"
27626,"Contract W2, 6+ months",553,,Kubernetes/Docker Test Engineer [CI-CD],"Telecommuting not available
Travel not required"
27627,,553,,,
27628,Full Time,553,,"Analysis, Analyst, Firewall, Management, Networks, Security, Simulation","Telecommuting not available
Travel not required"
27629,Full Time,553,,"Cabling, Hardware, Networks, Security, Simulation, Testing, Video","Telecommuting not available
Travel not required"
27630,"Full Time, Full-time, Employee",553,"$90,000 - $130,000","AlienVault USM, Configuration, Linux, SIEM, Cloud Security, Network Security, Firewalls, CISSP - AlienVault USM, Configuration, Linux, SIEM, Cloud Security, Network Security, Firewalls, CISSP","Telecommuting not available
Travel not required"
27631,Contract W2,553,Depends On Experience,"SQL Developer, SSIS,","Telecommuting not available
Travel not required"
27632,"Full Time, full-time",553,$110k to $170k,"Computer Science, Algorithms, software engineer, senior software engineer, junior software engineer, C# C++ Java, threads, distributed, multi-threading, concurrent programming, parallel programming,","Telecommuting not available
Travel not required"
