job_listing_no,job_type,page,salary_info,technical_skills,travel_info
2951,"Contract Corp-To-Corp, Contract Independent, Contract W2",60,Depends On Experience,"Erwin, Teradata","Telecommuting not available
Travel not required"
2952,"C2H Independent, C2H W2, 12+ Months",60,uncapped,"BMC Remedy,SAP","Telecommuting not available
Travel not required"
2953,"Contract W2, Temp",60,Competitive,"Analysis, Analyst, Analytical, Business Requirements, Database, Data Warehouse, Developer, Development, Informatica, IT, Lifecycle, Manager, Management, Oracle, PL/SQL, Project, Quality, SQL, Systems","Telecommuting not available
Travel not required"
2954,"Full Time, Full-time, Employee",60,Unspecified,"AutoCAD, Visio, Data Centers - AutoCAD, Visio, Data Centers","Telecommuting not available
Travel not required"
2955,"Contract Corp-To-Corp, Contract Independent, Contract W2, 1 year +",60,Negotiable,Refer to Job Description,"Telecommuting not available
Travel not required"
2956,"Full Time, 12 month",60,Market,"SSIS - SSAS with Tabular Model - SQL 2016 - Architecting - Offshore team lead, ETL, SSIS,SSAS, SQL","Telecommuting not available
Travel not required"
2957,"Full Time, Full-Time Employment - FTE",60,,"Development, Diagnostic, Laboratory, Lifecycle, Management, Medical Device, Project, QA, Quality Assurance, Risk Management","Telecommuting not available
Travel not required"
2958,"Full Time, Full-Time Employment - FTE",60,,"Analysis, Biochemistry, Chemical Engineering, Development, Environmental, HTTP, Lifecycle, Management, Materials, Project, Project Management, Protocols, Statistical Analysis, Validation","Telecommuting not available
Travel not required"
2959,"Full Time, Temporary",60,,"Development, Manager, Management, Middleware, PMP, Project, Project Management, Project Manager, SDLC","Telecommuting not available
Travel not required"
2960,"Full Time, Full-time",60,Competitive,"Development, Excel, Genetic, Hadoop, Hardware, Manager, Management, PMP, PowerPoint, Project, Project Management, Project Manager, SDLC, Video","Telecommuting available
Travel not required"
2961,"Full Time, Full-time",60,Competitive,"Analysis, Apache, API, Architecture, CSS, Developer, Development, Director, Genetic, HTML, J2EE, Java, JDBC, JSP, Libraries, Management, Project, Python, SQL, Testing, Unix, XML","Telecommuting not available
Travel not required"
2962,"Full Time, Full-time",60,Competitive,"Business Requirements, Database, Developer, Development, Excel, Genetic, Hadoop, J2EE, Java, Management, MS Office, Outlook, Programming, Project, Python, Research, Scheduler, Shell Scripting, Testing, Unix","Telecommuting not available
Travel not required"
2963,Full Time,60,,"Analyst, Analytical Skills, Automated, Excel, Metrics, Python, Sales, SQL","Telecommuting not available
Travel not required"
