company,date,detailUrl,jobTitle,job_listing_no,location,page
Scalable Systems,2017-04-13,http://www.dice.com/job/result/10121745/956827?src=19,Network Architect,7751,"Seattle, WA",156
Incorporan Inc,2017-04-21,http://www.dice.com/job/result/90557102/BAINITIO?src=19,Business Analyst + Ab Initio,7752,"Dallas, TX",156
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_192501BR?src=19,BI/SQL Developer,7753,"Maryland Heights, MO",156
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/04600-0009246084?src=19,Database Developer,7754,"Waukesha, WI",156
"K2 Partnering Solutions, Inc.",2017-04-18,http://www.dice.com/job/result/10112561/962146?src=19,System Engineer - Mac OS X,7755,"Manhattan, NY",156
"Agile Enterprise Solutions, Inc.",2017-04-21,http://www.dice.com/job/result/10122877/FTE-IW-sybase?src=19,Sybase Developer,7756,"New York, NY",156
Matrix Resources,2017-04-23,http://www.dice.com/job/result/matrixga/124045?src=19,EDW/BI Project Manager,7757,"Dunwoody, GA",156
Ascent,2017-04-22,http://www.dice.com/job/result/itca001/17-03651?src=19,Linux Administrator,7758,"Pleasanton, CA",156
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/SM1-13651479?src=19,"Senior Software Architect - Kernal, Drivers, Memory",7759,"Milpitas, CA",156
"Presidio Networked Solutions Group, LLC",2017-04-13,http://www.dice.com/job/result/10125889/949154?src=19,Senior SQL DBA,7760,"Pittsburgh, PA",156
X-pertize,2017-04-21,http://www.dice.com/job/result/10204821/BACL_NJ1?src=19,Business Analyst - Risk Management / Regulatory / Compliance,7761,"Houston, TX",156
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/DD-135421252?src=19,Senior Solutions Engineer - Cloud,7762,"New York, NY",156
"Red Oak Technologies, Inc.",2017-04-12,http://www.dice.com/job/result/redoak/159383?src=19,Infrastructure/Site Reliability Engineer,7763,"Sunnyvale, CA",156
Barrow,2017-04-20,http://www.dice.com/job/result/90958157/966174?src=19,Identity and Authenticaiton Sec Eng,7764,"Washington, DC",156
Etouch Systems Corp,2017-04-12,http://www.dice.com/job/result/etouch/422256?src=19,Node Js Developer,7765,"San Francisco, CA",156
Matrix Technology Group,2017-04-20,http://www.dice.com/job/result/mategr/9551-WASArch?src=19,Middleware Architect,7766,"Farmington Hills, MI",156
Yash Technologies,2017-04-11,http://www.dice.com/job/result/10123840/ADB2DBA?src=19,DB2 z/OS Database Administrator,7767,"Moline, IL",156
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/DG4-136443911?src=19,".NET Developer - C#, SQL, XML Web services",7768,"Baltimore, MD",156
Real Advancement,2017-04-21,http://www.dice.com/job/result/90581032/964810?src=19,BA/IT PM,7769,"Madison, WI",156
Ask It Consulting Inc,2017-04-11,http://www.dice.com/job/result/10371880/954367?src=19,Enterprise Architect-Accela Civic Platform  / Citizen Access,7770,"Lansing, MI",156
Ascent,2017-04-22,http://www.dice.com/job/result/itca001/17-03476?src=19,"Associate/Sr. Associate, Business Operations",7771,"San Rafael, CA",156
DigitaliBiz,2017-03-27,http://www.dice.com/job/result/10334174/933714?src=19,Technical Writer/Editor,7772,"Oklahoma City, OK",156
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/JJ5-136441111?src=19,QA Engineer (Manufacturing/ISO9001),7773,"South Plainfield, NJ",156
Volt,2017-04-23,http://www.dice.com/job/result/10105694/28355-726?src=19,Sr. Network Engineer,7774,"Apex, NC",156
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/00400-0009206984?src=19,Systems Administrator,7775,"Vista, CA",156
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/CF3-136141523?src=19,"Senior Software Engineer - Java, Scala, RUBY",7776,"Lehi, UT",156
Net2Source Inc.,2017-04-10,http://www.dice.com/job/result/10271304/951537?src=19,SCADA Application Subject Matter Expert,7777,"Rockville, MD",156
Touch World Inc.,2017-04-19,http://www.dice.com/job/result/touchw/497162?src=19,Database Architect,7778,"Lansing, MI",156
ThreeBridge Solutions,2017-04-13,http://www.dice.com/job/result/10521744/958296?src=19,Lead/Senior Cloud Engineer,7779,"Minneapolis, MN",156
TECHNOCRAFT SOLUTIONS,2017-04-17,http://www.dice.com/job/result/90553186/Bharat10?src=19,Datawarehouse/ BI Technical Service Delivery Manager,7780,"Bellevue, WA",156
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/03220-9500187560?src=19,SQL Dev for Healthcare Solution,7781,"Rtp, NC",156
Netrocon Inc,2017-04-17,http://www.dice.com/job/result/10216365/DTS001?src=19,DataStage developer,7782,"New york, NY",156
Kani Solutions,2017-04-21,http://www.dice.com/job/result/10360587/People2589?src=19,PeopleSoft Functional Consultant/Reporting Analyst,7783,"Richmond, VA",156
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITWQG1620532?src=19,PL / SQL APEX Developer,7784,"Lehi, UT",156
Interactive Resources LLC,2017-04-17,http://www.dice.com/job/result/10217057/iR_BSA_CO?src=19,Business Systems Analyst,7785,"Aurora, CO",156
Nityo Infotech Corporation,2017-04-21,http://www.dice.com/job/result/10200946b/SG_764?src=19,PL/SQL developer(W2),7786,"Houston, TX",156
Proficient Business Systems Inc,2017-04-03,http://www.dice.com/job/result/PRO60061/941706?src=19,Database Administrator - Level 3,7787,"Lexington, KY",156
Booz Allen Hamilton,2017-04-22,http://www.dice.com/job/result/booz/J3L6W16J7NBYW3QHKPB?src=19,"Technical Architect, Senior",7788,"McLean, VA",156
PDDN Inc,2017-04-20,http://www.dice.com/job/result/10202969/932008?src=19,Full Stack Engineer,7789,"Sunnyvale, CA",156
KLNtek,2017-04-20,http://www.dice.com/job/result/10473306/963975?src=19,"Need - ETL QA with HealthCare Domain - SFO, CA",7790,"San Francisco, CA",156
iStaff,2017-04-17,http://www.dice.com/job/result/ISTAFFGA/swstest2?src=19,Manual / Automated Tester,7791,"Alpharetta, GA",156
Charles Schwab,2017-04-22,http://www.dice.com/job/result/10228622/20170314-994?src=19,Sr. Software Backend QA Engineer,7792,"Raleigh, NC",156
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/04810-9500499659?src=19,SQL Database Developer,7793,"Los Angeles, CA",156
General Dynamics Information Technology,2017-04-22,http://www.dice.com/job/result/90979310/18919?src=19,Returning Candidate? Log back in! IT Support / Systems Administrator - TS/SCI with Polygraph re,7794,"Herndon, VA",156
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/01020-9500499989?src=19,BI/SQL Developer,7795,"Boca Raton, FL",156
Themesoft Inc,2017-04-21,http://www.dice.com/job/result/10123197/967887?src=19,Informatica Lead,7796,"Richfield, MN",156
"HTC Global Services, Inc.",2017-04-21,http://www.dice.com/job/result/htcinc/VJ_PCC_Jackson?src=19,Project Cost Controller,7797,"Jackson, MI",156
Acro Service Corp.,2017-03-31,http://www.dice.com/job/result/ACRO/940992?src=19,Web Developer,7798,"atlanta, GA",156
Calance US,2017-04-23,http://www.dice.com/job/result/cxbcsi/Job29183?src=19,Business Systems Analyst (Marketing/Campaign Mgmt Technology),7799,"Plano, TX",156
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/SM1-13651489?src=19,"Senior Controller ASIC Architect - Memory, PCIe",7800,"Milpitas, CA",156
