job_listing_no,job_type,page,salary_info,technical_skills,travel_info
10651,Full Time,214,145000,"Business Intelligence, Management, Financials, Business Objects, Oracle E-Business, Reporting, KPI, SLA","Telecommuting not available
Travel not required"
10652,"C2H Corp-To-Corp, C2H Independent, C2H W2, 6+months to hire",214,Negotiable,"Big Data(Hadoop),Hive,Hbase,MongoDB,Linux,Java,Python","Telecommuting not available
Travel not required"
10653,"Full Time, Contract W2, Long Term",214,Negotiable,".NET, MVC, Azure, Multithreading, Asynchronous Programming, WCF, Web API","Telecommuting not available
Travel not required"
10654,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",214,XXXX,"Salesforce, Technical Architecture, Agile / Collaborative Method","Telecommuting not available
Travel not required"
10655,Full Time,214,Depends On Experience,"Gathering Requirements, Supply Chain,User Requirements, Software requirements, Workflow diagrams, Test case, Data Management, SQL","Telecommuting not available
Travel required to 10%."
10656,"Full Time, Contract W2, 11 months+",214,Negotiable,"HTML, Web Services, SQL, Managing Incident/Problem Management exp.","Telecommuting not available
Travel not required"
10657,"Full Time, Full-time, Employee",214,"$50,000 - $80,000","SEM, PPC, Google Analytics, Google Adwords, Campaign Management - SEM, PPC, Google Analytics, Google Adwords, Campaign Management","Telecommuting not available
Travel not required"
10658,"Contract Corp-To-Corp, Contract Independent, Contract W2, Long Term Contract",214,Negotiable,"Federal HR Processing, Interface development, Online customization, CI development, Integration broker","Telecommuting not available
Travel not required"
10659,"Contract W2, Temp",214,Competitive,"Analysis, Analyst, Application, Data Analysis, Manager, Research, Systems","Telecommuting not available
Travel not required"
10660,"Full Time, full time permanent",214,55k - 75k,"UNIX, Linux, WebLogic, WAS, Tomcat, Apache, Nginx, system security, data & analytics","Telecommuting not available
Travel not required"
10661,"Contract Corp-To-Corp, 12 Mos",214,0.01,"Candidates interviewing for this position must be able to attend an on-site interview in Phoenix, AZ","Telecommuting not available
Travel not required"
10662,Contract W2,214,Depends On Experience,"JAVA, SQL, MPP,NoSQL,AWS.LAMBDA,EMR,S3,DYNAMODB,REDSHIFT,RDS","Telecommuting not available
Travel not required"
10663,"Full Time, FULLTIME",214,,"Agile, Change Management, Consulting, Customer Service, Data Modeling, Development, Genetic, HTML, J2EE, Java, JavaScript, JSP, Management, Modeling, PLC, Project, Software Engineer, SQL, Unix, Windows, XML","Telecommuting not available
Travel not required"
10664,"Full Time, Contract Corp-To-Corp, Contract W2",214,Negotiable,"mvc, c#, sql, .NET framework","Telecommuting not available
Travel not required"
