job_listing_no,job_type,page,salary_info,technical_skills,travel_info
12851,Full Time,258,,"Analysis, ANSI, Automated, Circuit, Database, Development, HMI, IEEE, ISO, Management, Project, Project Management, Scheduling, Switches, Testing, UPS","Telecommuting not available
Travel not required"
12852,Full Time,258,,"Configuration management, documentation control, product life cycle management, Agile, PLM, ECO","Telecommuting not available
Travel not required"
12853,"Full Time, FULLTIME",258,,"Cisco, Diagnostic, Exchange, Hardware, HTTP, IIS, iOS, LAN, Library, Manager, Management, MS Office, Multimedia, Networking, Networks, PC, PHP, Project, Research, SMS, WAN, Windows","Telecommuting not available
Travel not required"
12854,Full Time,258,Negotiable,"IT Advisory, Information Technology, Account Management, Client Relationship Management, Subject Matter Expertise, Architecture, Program Management","Telecommuting not available
Travel required to 25%."
12855,Full Time,258,Negotiable,"CISSP, CISM, SAN, Shell scripting, VBScript, Perl, Python, AWK","Telecommuting not available
Travel not required"
12856,Full Time,258,Negotiable,"Business analysis, requirements gathering, knowledge of SDLC","Telecommuting not available
Travel not required"
12857,Full Time,258,-,Minimum Qualifications: * 2+ years strong customer relations skills (with all levels of internal and external customers) with the ability to handle stressful situations * 2+ years of experie,"Telecommuting not available
Travel not required"
12858,Full Time,258,70k-120k,"Microsoft Exchange, SQL and SharePoint 	DNS, DHCP, Remote Desktop Services 	VMWare, Hyper-V and other virtualization technologies 	Storage solutions: SAN, NAS, Shared storage, ISCSI, Fiber Channe","Telecommuting not available
Travel not required"
12859,Full Time,258,Depends On Experience,"Machine Learning, Managing, ML systems, Coding, Python, C#, Microsoft .NET","Telecommuting not available
Travel not required"
12860,Full Time,258,,"ANSI, Development, Excel, Materials, Networks, PowerPoint, Specification, Testing","Telecommuting not available
Travel not required"
