job_listing_no,job_type,page,salary_info,technical_skills,travel_info
28901,"Contract W2, Temp",579,Competitive,"Computer, Consultant, Engineer, Ethernet, Hardware, IT, LAN, Metrics, Network, Networking, Performance, Project, Routers, Switches, Telecommunications, Token Ring, WAN","Telecommuting not available
Travel not required"
28902,"Full Time, Contract Independent, Contract W2",579,Depends On Experience,"ETL Developer, ETL, Informatica, Oracle or SQL, reporting, SSRS, SSIS","Telecommuting not available
Travel not required"
28903,"Full Time, Perm",579,60000-70000 yearly,".Net, Applications, ASP, ASP.NET, C#, Computer, Database, Development, Management, Networks, Programming, SDLC, Software, SQL, SQL Server, Systems, VB, Web","Telecommuting not available
Travel not required"
28904,"Contract W2, 6+ Months",579,AI on W2,Network Engineer,"Telecommuting not available
Travel not required"
28905,"Contract Corp-To-Corp, Contract Independent, Contract W2, 6+ Month",579,Market,"Hadoop, Administration, Linux, Technical, Hbase, Scoop, Health Care, HQL, Hive, Ambari, Apache, Kafka","Telecommuting not available
Travel not required"
28906,Full Time,579,,"Analysis, Bridges, CCNA, Development, Hardware, Management, Networks, Protocol, Security, Simulation, Video","Telecommuting not available
Travel not required"
28907,"Full Time, Full-Time",579,,"Analysis, Analyst, Analytical Skills, BIND, Business Analyst, HTML, Management, Project, Project Management","Telecommuting not available
Travel required to 20%."
28908,"Contract Corp-To-Corp, Contract Independent, Contract W2",579,$50-60/hr,"automation, selenium, agile","Telecommuting not available
Travel not required"
28909,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H W2",579,Negotiable,javascript node js,"Telecommuting not available
Travel not required"
28910,Full Time,579,Depends On Experience,AWS Azure Cloud virtualization VMware,"Telecommuting not available
Travel not required"
28911,"Contract Independent, Contract W2, 4+ Months",579,Depends On Experience,"CLOUD TIERING APPLIANCE (CTA), VNX/VNX2, NAS","Telecommuting not available
Travel not required"
28912,Contract W2,579,$0.00 - $50.00 per hour,GIS Developer,"Telecommuting not available
Travel not required"
28913,"Full Time, Full-time, Employee",579,"$95,000 - $110,000","Google Analytics, Moz Analytics, Technical SEO Skills (HTML/CSS/JavaScript), SEO, SEM, Bachelors - Google Analytics, Moz Analytics, Technical SEO Skills (HTML/CSS/JavaScript), SEO, SEM, Bachelors","Telecommuting not available
Travel not required"
28914,"Contract W2, Temp",579,Competitive,"Analysis, Application, Applications, Architecture, Computer, Developer, Development, Engineering, J2EE, Java, Modeling, Multi-Tier Architecture, Networking, Performance, QA, SOAP, Software, Systems, Test, Testing, UML, Web, XML","Telecommuting not available
Travel not required"
28915,"Full Time, Contract W2, C2H Independent, C2H W2, Full-Time",579,Negotiable,"Storage, EMC SAN, SAN, VMAX, Vplex, Connectrix, Isilon, COMMVAULT","Telecommuting not available
Travel not required"
28916,"Contract Independent, Contract W2, Up to 3 months",579,Market,"Business Analyst Job in Dallas, TX","Telecommuting not available
Travel not required"
28917,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time",579,Depends On Experience,"Siperian, MDM, Migration, Upgrade, Informatica, ETL","Telecommuting not available
Travel not required"
28918,"Full Time, Permanent",579,Competitive,"Cyber Security, CISSP, CISM, VPN, IPS/ IDS","Telecommuting not available
Travel not required"
28919,"Full Time, Full Time",579,Full Time,"XML, JSON, SQL, SOAP UI","Telecommuting not available
Travel not required"
28920,"Contract Independent, Contract W2",579,Negotiable,"Hadoop, Linux, NoSQL","Telecommuting not available
Travel not required"
28921,"Full Time, perm",579,Depends On Experience,Sr. Oracle eBusiness Suite (eBS) HCM/HRMS Functional Developer,"Telecommuting not available
Travel not required"
28922,"Full Time, Full-time, Employee",579,"$100,000 - $140,000","Cisco Routers/Switches, River Bed WAN, Government Security Clearance, F5 Load Balancers, Service Delivery Points, VPN Solution, DoD 8570 IAT Level II, Security+, CCNA or similar, Solarwinds - Cisco Routers/Switches, River Bed WAN, Government Security Clearance, F5 Load Balancers, Service Delivery Points, VPN Solution, DoD 8570 IAT Level II, Security+, CCNA or similar, Solarwinds","Telecommuting not available
Travel not required"
28923,Full Time,579,,"Accounting, Analysis, Architecture, Change Management, Development, Hardware, Management, Networks, Peripheral, Project, Project Management, Security, Simulation, Testing, Video","Telecommuting not available
Travel not required"
28924,Full Time,579,"100,000","ITIL, Six Sigma","Telecommuting not available
Travel not required"
28925,Contract Corp-To-Corp,579,90,ECM Architect @ San Ramon CA,"Telecommuting not available
Travel not required"
28926,"Contract Corp-To-Corp, Contract W2, 12 Months",579,$1 - $1 per hour,Back End Engineer,"Telecommuting not available
Travel not required"
28927,Contract W2,579,market/hour,"""business analyst"", ""system analyst""","Telecommuting not available
Travel not required"
28928,"Full Time, Full Time",579,,"AIX, Database, DBA, Hadoop, Linux, Security, Testing","Telecommuting not available
Travel not required"
28929,Contract W2,579,Depends On Experience,Q/A,"Telecommuting not available
Travel not required"
28930,,579,$0 - $0,"css,git,html5,javascript,node.js,security compliance,unit tests,versioning","Telecommuting not available
Travel not required"
28931,"Contract W2, 6 Months +",579,Market,Network Change Control Analyst,"Telecommuting not available
Travel not required"
28932,"Full Time, Permanent Full Time",579,,"Analysis, Analyst, Analytical Skills, Architecture, CGI, CRM, Development, ERP, Java, Lifecycle, Lifecycle Development, Linux, Research, SDLC, Security","Telecommuting not available
Travel required to 25%."
28933,"Contract W2, C2H W2",579,Negotiable,"Analysis, Developer, Development, Lifecycle, Manager, Management, Metrics, Security, Software Engineer, UX","Telecommuting not available
Travel not required"
28934,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",579,,"Accounting, Analysis, Business Requirements, Development, Excel, Management, Materials, Metrics, Microsoft Project, PowerPoint, Project, Security, Supervision, Testing, Windows","Telecommuting not available
Travel not required"
28935,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",579,Unspecified,"Remote Developer, Node.js, Coffeescript, ecommerce, GitHub","Telecommuting available
Travel not required"
28936,"Contract Independent, Contract W2, 6+ months",579,Depends On Experience,"Groovy, javascript, shell scripting, web services (SOAP and REST) and MQ, Jira, Quality Center, Windows, MACOS, Linux, VMWare, Jenkins, SVN, TFS","Telecommuting not available
Travel not required"
28937,Full Time,579,Depends On Experience,"Call Center, Customer Service, Database, Development, Hardware, Help Desk, PC, Research, SQL, Windows","Telecommuting not available
Travel not required"
28938,"Contract W2, C2H W2, 6 + months",579,$70 - $90/hr W2,"Cisco, telephony networking, enterprise voice network applications, server, storage, security, messaging","Telecommuting not available
Travel not required"
28939,Full Time,579,Annual,"application development, Weblogic, websphere, unix","Telecommuting not available
Travel not required"
28940,Full Time,579,,"Analyst, Architecture, CISSP, Database, Firewall, Management, Networking, Security, Telecommunications, Video","Telecommuting not available
Travel not required"
28941,Full Time,579,Market,"JDA SCPO, JDA EP, Cat Mgmt., JDA Pricing and Promo modules","Telecommuting not available
Travel not required"
28942,"Full Time, FULLTIME",579,,"CASE, CISSP, Customer Service, Development, DNA, Encryption, ISO, Knowledge Management, Manager, Management, MS Office, Networking, Security, SOX","Telecommuting not available
Travel not required"
28943,Contract Independent,579,25.70,"vmware, windows, office, active directory, Exchange, desktop, imaging, deployment","Telecommuting not available
Travel not required"
28944,Contract W2,579,market/hour,"NodeJS, ExpressJS, MongoDB, Agile, SOAP, REST","Telecommuting not available
Travel not required"
28945,"Full Time, Full-time, Employee",579,"$120,000 - $160,000","Voip, Python/Java/C++, AWS, Software Development, Web Centric, Open Source Technologies - Voip, Python/Java/C++, AWS, Software Development, Web Centric, Open Source Technologies","Telecommuting not available
Travel not required"
28946,"Contract Corp-To-Corp, Contract Independent, Contract W2",579,Depends On Experience,"Risk, cloud, AWS, azure, ""risk advisor"", CISSP, CCSP, CRISC, NIST, ""risk management"", analyze, SOA, SME, assessment, consultant","Telecommuting not available
Travel not required"
28947,"Contract Independent, Contract W2, 7+ mos",579,BASED ON EXPERIENCE,"ARCGIS, VISUAL STUDIO, WEB DEVELOPER","Telecommuting not available
Travel not required"
28948,"Full Time, Full Time",579,,"Analysis, Analyst, Architecture, Automated, CASE, Database, Defect Management, Developer, Development, Excel, Forth, HTTP, Java, Management, Oracle, Outlook, Project, Quality Assurance, Scripts, SDLC, SOAP, Testing, Test Plan","Telecommuting not available
Travel not required"
28949,Full Time,579,Negotiable,"RPA, Robotics Process Automation, Windows, SQL, Blue Prism, Kofax","Telecommuting not available
Travel not required"
28950,"Full Time, Temporary",579,,"DB2, Developer, Development, HTTP, IBM, Informatica, Jenkins, Manager, Metrics, Project, Protocols, Security, SQL, Testing, WSDL, XML, XSLT","Telecommuting not available
Travel not required"
