company,date,detailUrl,jobTitle,job_listing_no,location,page
HCL America Inc.,2017-04-21,http://www.dice.com/job/result/hcl001/949993?src=19,"Network Security - Manhattan, NY",9201,"Manhattan, NY",185
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/01340-0009223711?src=19,Software Engineer,9202,"Vernon Hills, IL",185
UCLA Outpatient Clinics,2017-04-22,http://www.dice.com/job/result/10429251S/H83314?src=19,Infrastructure Architect/PA V,9203,"Los Angeles, CA",185
Network Objects Inc.,2017-04-21,http://www.dice.com/job/result/10286417/966145?src=19,Sr BI/DWH Lead Quality Engineer,9204,"San Francisco, CA",185
NICE Systems,2017-04-22,http://www.dice.com/job/result/10115980/8497?src=19,Senior DevOps Engineer - CEA,9205,Raanana,185
"Softpath System, LLC.",2017-03-31,http://www.dice.com/job/result/softpath/939700?src=19,Oracle EBS Architect,9206,"Atlanta, GA",185
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/KV1-13660884?src=19,SAP Developer,9207,"Moorhead, MN",185
VLink Inc,2017-04-19,http://www.dice.com/job/result/RTL109178/949773?src=19,Lead Business Systems Analyst,9208,"Indianapolis, IN",185
Kelly IT,2017-04-11,http://www.dice.com/job/result/10114756a/879226?src=19,Jr. Business Analyst (Excel/Access),9209,"San Rafael, CA",185
"OUTSOURCE Consulting Services, Inc",2017-04-18,http://www.dice.com/job/result/ocs/958147?src=19,CRM Manager - 001181,9210,"Santa Clara, CA",185
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/DN-1340427Principal101?src=19,Chief Software Architect,9211,"Detroit, MI",185
Next Step Systems,2017-04-22,http://www.dice.com/job/result/NEXIL001/881090?src=19,Business Development Manager - M,9212,"Los Angeles, CA",185
"HTC Global Services, Inc.",2017-04-18,http://www.dice.com/job/result/htcinc/NA_JACOBL?src=19,Java Developer with Apache Camel & Spring Integration experience,9213,"Lansing, MI",185
Xoriant Corporation,2017-04-19,http://www.dice.com/job/result/xorca001/2851?src=19,Senior Site Reliability Engineer (Sr. DevOps Engineer in Production),9214,"San Francisco, CA",185
"Puresoft, Inc.",2017-04-21,http://www.dice.com/job/result/10123319/968379?src=19,"Lead AEM Developer @ Cherry Hill, NJ",9215,"Cherry Hill, NJ",185
HCL America Inc.,2017-04-18,http://www.dice.com/job/result/hcl001/962552?src=19,Lab Operations Infrastructure Engineer II,9216,"Denver, CO",185
TrueTandem,2017-04-19,http://www.dice.com/job/result/10357808/964059?src=19,Database Analyst,9217,"Washington, DC",185
Ahead LLC,2017-04-06,http://www.dice.com/job/result/10292550/947458?src=19,Senior Account Manager,9218,"Indianapolis, IN",185
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/04860-9500505303?src=19,Software Configuration Management Analyst,9219,"Columbus, OH",185
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/01020-9500499989?src=19,BI/SQL Developer,9220,"Boca Raton, FL",185
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/00320-9500492711?src=19,Pre-Sales Systems Engineer,9221,"Manhattan Beach, CA",185
Volt,2017-04-23,http://www.dice.com/job/result/10105694/32030-416?src=19,Drivetrain Controls Engineer,9222,"Detroit, MI",185
"International Cruise & Excursion Gallery, Inc.",2017-03-30,http://www.dice.com/job/result/RTL67212s/767312?src=19,Director of Software Development,9223,"Scottsdale, AZ",185
West Coast Consulting LLC,2017-04-13,http://www.dice.com/job/result/wesca004/WC033?src=19,Consultant | SAP Functional | SAP PP & SAP WMS,9224,"Windsor, VA",185
UnitedHealth Group,2017-04-23,http://www.dice.com/job/result/appblok/2417_701389_0?src=19,"Marketing Product Database Consultant, Real - Time Offer Management - Cypress, CA, Minnetonka,",9225,"Minnetonka, MN",185
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_187228BR?src=19,Advanced Video Engineer I,9226,"Greenwood Village, CO",185
"Examination Management Services, Inc",2017-04-22,http://www.dice.com/job/result/RTX1b627f/3105?src=19,"Systems Engineer - Irving, TX",9227,"Irving, TX",185
"First Tek, Inc.",2017-04-11,http://www.dice.com/job/result/10118015/949128?src=19,"Reports Developer... in Parsippany / Morristown, NJ",9228,"Morristown, NJ",185
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITWQG1621340?src=19,ITX Project Manager 3,9229,"San Francisco, CA",185
"IT Associates, Inc.",2017-04-21,http://www.dice.com/job/result/itassoc/OracleDB-F7?src=19,Sr Database Developer ( Oracle,9230,"bensenville, IL",185
"QVC, Inc.",2017-04-12,http://www.dice.com/job/result/RTX166689/R25601?src=19,Technology Architect,9231,"West Chester, PA",185
Robert Half Technology,2017-04-22,http://www.dice.com/job/result/rhalfint/00460-0009237272?src=19,Desktop Support Analyst,9232,"El Segundo, CA",185
Affluenttek LLC,2017-04-17,http://www.dice.com/job/result/90961624/657308?src=19,Sr Microstrategy Developer,9233,"Charlotte, NC",185
CyberData Technologies,2017-04-21,http://www.dice.com/job/result/RTX146efa/CYB13149201603?src=19,Linux Systems Administrator III,9234,"College Park, MD",185
The Royak Group Inc.,2017-04-03,http://www.dice.com/job/result/10167419/MS2227?src=19,MS Dynamics Solution Architect,9235,"Atlanta, GA",185
The Judge Group,2017-04-23,http://www.dice.com/job/result/cxjudgpa/523565?src=19,Payer Solutions DBA,9236,"Westfield, IN",185
Modis,2017-04-22,http://www.dice.com/job/result/CXMODSFA2/US_EN_6_17195_56483008?src=19,Tririga Developer,9237,"Oakland, CA",185
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/02100-0009205262?src=19,Business Intelligence (BI) Consultant,9238,"Providence, RI",185
"Atrilogy Solutions Group, Inc.",2017-04-21,http://www.dice.com/job/result/atrilogy/9052492?src=19,"QA / Test Engineer ( Datawarehouse / BI , ETL )",9239,"Los Angeles, CA",185
Loganbritton,2017-04-21,http://www.dice.com/job/result/10109326/GISANALTIL?src=19,Sr. GIS Analyst,9240,"Chicago, IL",185
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITEQG1621589?src=19,Business Analyst,9241,"Juno Beach, FL",185
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/JL7-136465310?src=19,"Senior Java Engineer -Enterprise JAVA, JVM ecosystem,Scala",9242,"Larkspur, CA",185
Global ECS,2017-04-06,http://www.dice.com/job/result/90979073/948030?src=19,Sharepoint / SRSS Reporter,9243,"Newark, CA",185
Akyzen,2017-04-05,http://www.dice.com/job/result/90858945/766284?src=19,DB2 Purescale Engineer,9244,"Austin, TX",185
Averity,2017-04-21,http://www.dice.com/job/result/90906950/902097?src=19,Senior Full Stack Engineer,9245,"New York, NY",185
"The Judge Group, Inc.",2017-04-07,http://www.dice.com/job/result/cxjudgpa2/525993?src=19,Senior IT Business Analyst,9246,"New York, NY",185
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/HF-136187722?src=19,Technical Business Analyst,9247,"Herndon, VA",185
General Dynamics Information Technology,2017-04-22,http://www.dice.com/job/result/90979310/18563?src=19,"Engineer, Systems",9248,"Springfield, VA",185
CyberCoders,2017-04-22,http://www.dice.com/job/result/cybercod/DM2-135032162?src=19,Software Developer - Microsoft Dynamics NAV (Partial Remote),9249,"Eagan, MN",185
"Infinite Computing Systems, Inc.",2017-04-19,http://www.dice.com/job/result/infinia/955539?src=19,Krux Business Analyst - Technical,9250,"Denver, CO",185
