company,date,detailUrl,jobTitle,job_listing_no,location,page
"Genuent, LLC",2017-04-22,http://www.dice.com/job/result/10228513/17-01736?src=19,Sr. SCADA Analyst,11951,"Houston, TX",240
"Scintel Technologies, Inc.",2017-04-20,http://www.dice.com/job/result/10123031/MCY_4884?src=19,"Senior BI Developer @ Johns Creek ,GA",11952,"Johns Creek, GA",240
Tail Wind Technologies Corp.,2017-04-11,http://www.dice.com/job/result/10116605/921685?src=19,BI Developer - SSAS Minnesota,11953,"Minneapolis, MN",240
Paragon Foods,2017-04-17,http://www.dice.com/job/result/RTX1bf7b3/4950263?src=19,Full Stack Web Developer,11954,"Warrendale, PA",240
Saicon Consultants Inc.,2017-04-17,http://www.dice.com/job/result/saicon/837014?src=19,.Net Developer with Kendo UI experience,11955,"Pleasanton, CA",240
InfoGroup,2017-04-05,http://www.dice.com/job/result/10457921/808342?src=19,Sr. Network Engineer,11956,"Burlington, MA",240
Volt,2017-04-23,http://www.dice.com/job/result/10105694/27988-966?src=19,Contract Administrator,11957,"El Segundo, CA",240
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/22631?src=19,Information Security Systems Engineer with TS/SCI Clearance,11958,"Springfield, VA",240
"NetSource, Inc.",2017-04-21,http://www.dice.com/job/result/NETSO/1037?src=19,Cyber Security Consultant,11959,"Raleigh, NC",240
Cox Corporate Services,2017-03-30,http://www.dice.com/job/result/coxga4/174265?src=19,Cox Business Customer Care Specialist (Technical Support),11960,"West Warwick, RI",240
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/CE3-13654558?src=19,"iOS Developer - BIG NAME CLIENT- RELOCATE TO PORTLAND, OR",11961,"San Francisco, CA",240
Ian Martin Group,2017-04-12,http://www.dice.com/job/result/10106687/955639?src=19,Enterprise Architect with Accela experience,11962,"Lansing, MI",240
Ambrosia Infotech Ltd.,2017-04-21,http://www.dice.com/job/result/10206433/968386?src=19,IBM FTM Developer,11963,"Cleveland, OH",240
ITLogic Partners,2017-04-18,http://www.dice.com/job/result/90857506/MVC-IRV?src=19,Full Stack Developer,11964,"Irving, TX",240
Confidential Company,2017-04-06,http://www.dice.com/job/result/10511767/888860?src=19,"Manager, Business Intelligence",11965,"Waltham, MA",240
The Judge Group,2017-04-23,http://www.dice.com/job/result/cxjudgpa/524802?src=19,ETL Support Analyst,11966,"Westerville, OH",240
