job_listing_no,job_type,page,salary_info,technical_skills,travel_info
1782,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time",36,150000,"network engineer, market data, bloomberg, rueters, reuters","Telecommuting not available
Travel not required"
1783,"Full Time, Full-time, Employee",36,"$100,000 - $150,000","Java, Groovy, Cassandra, Scala, Big Data, Hive - Java, Groovy, Cassandra, Scala, Big Data, Hive","Telecommuting not available
Travel not required"
1784,"Full Time, perm",36,160K+,big data cassandra hadoop sql t-sql c c++ low latency trading,"Telecommuting not available
Travel not required"
1785,Full Time,36,Negotiable,".Net, Analysis, ASP, ASP.NET, Data Analysis, Database, Data Modeling, Developer, Development, Modeling, SDLC, Software Engineer, SQL, SQL Server, Supervision","Telecommuting not available
Travel not required"
1786,"C2H W2, 06+ C2H",36,Depends On Experience,"Data Mapping, Target Mapping, Conceptual / logical data models, gap Analysis, Claims Payment, JAD","Telecommuting not available
Travel not required"
1787,Full Time,36,000,Data Publisher,"Telecommuting not available
Travel not required"
1788,"Full Time, Full-time, Employee",36,Unspecified,"UI/UX Designer, Software-as-a-Service (SAAS), GIS - Geographic Information System, Data Visualization, ArcGIS, Startup Experience - UI/UX Designer, Software-as-a-Service (SAAS), GIS - Geographic Information System, Data Visualization, ArcGIS, Startup Experience","Telecommuting not available
Travel not required"
1789,"Contract W2, 8+ mts",36,open,"Data Modeler ,Data Cleansing,  Data Virtualization","Telecommuting not available
Travel not required"
1790,Full Time,36,Competitive,Data Visualization Developer,"Telecommuting not available
Travel not required"
1791,Full Time,36,Rate - Open,"SAP ECC, CRM , SAP HANA, Oracle, Exadata, SQL Server, DB2, iSeries programming, Hadoop","Telecommuting not available
Travel not required"
1792,"Contract Corp-To-Corp, Contract Independent, Contract W2, 1+year",36,Depends On Experience,NoSQL.,"Telecommuting not available
Travel not required"
1793,,36,open,See job description,"Telecommuting not available
Travel not required"
1794,"Full Time, PERM",36,Depends On Experience,"Senior Enterprise Data Architect, Data, ETL, BI Stack, Data Modeling","Telecommuting not available
Travel not required"
1795,Contract W2,36,W2,"Data Engineer, Java development, Java 8 Streams, Lambdas, GIT, Maven, Jenkins, JUnit, DBUnit","Telecommuting not available
Travel required to 25%."
1796,"Contract Corp-To-Corp, Contract Independent, Contract W2",36,Up to $95/Hr,"Kafka, Big Data, cluster, hadoop, ETL","Telecommuting not available
Travel not required"
1797,"C2H Corp-To-Corp, C2H Independent, C2H W2, long term",36,open,"data mapping, sql, insurance claims","Telecommuting not available
Travel not required"
1798,Full Time,36,,"Analysis, Citrix, Database, Database Administration, Exchange, Hardware, Management, Networks, PMP, Security, Simulation, Systems Administrator, Testing, VMware, vSphere","Telecommuting not available
Travel not required"
1799,"Full Time, Permanent Full Time",36,,"CGI, Data Mining, Development, Hadoop, Java, MongoDB, NoSQL, Project, Python, Scrum, Security, Testing","Telecommuting not available
Travel not required"
1800,"Full Time, FULL TIME",36,Depends On Experience,"C ++ Linux, Market Data, Senior C++ Market Data Feeds Developers.","Telecommuting not available
Travel not required"
