company,date,detailUrl,jobTitle,job_listing_no,location,page
NICE Systems,2017-04-23,http://www.dice.com/job/result/10115980/8582?src=19,Specialist,29701,Pune,595
Kyyba Inc,2017-04-20,http://www.dice.com/job/result/10116479/967345?src=19,GIS Analyst,29702,"Detroit, MI",595
RecruitIQ Staffing,2017-04-23,http://www.dice.com/job/result/appblok/3422_a214824e55d9668326298f10d93d506e?src=19,"Director of Clinical Applications (New York, NY)",29703,"Durham, NC",595
"Miracle Software Systems, Inc.",2017-04-21,http://www.dice.com/job/result/mirmi001/965640?src=19,Dotnet Developer (Azure),29704,"Dearborn, MI",595
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/20893?src=19,"Sr Administrator, Network",29705,"Langley Afb, VA",595
SS & C Technologies Inc,2017-04-07,http://www.dice.com/job/result/10185448/1407?src=19,Software Developer,29706,"Windsor, CT",595
CMIND LLC,2017-04-10,http://www.dice.com/job/result/90806958/887931?src=19,Senior SSRS Developer,29707,"Frisco, TX",595
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/WT1-13651829?src=19,"Software Developer: Relocate to Houston, TX",29708,"Houston, TX",595
Infogroup Northwest,2017-04-23,http://www.dice.com/job/result/infogrup/17235?src=19,DevOps Engineer,29709,"Portland, OR",595
Precision Computer Services (PCS),2017-04-07,http://www.dice.com/job/result/10306881/868359?src=19,.Net Application Developer,29710,"Farmington, CT",595
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/22568?src=19,Sr. Systems Analyst,29711,"Towson, MD",595
ESOL,2017-04-21,http://www.dice.com/job/result/10193388/859061?src=19,SAP FICA,29712,"Irvine, CA",595
"BlueAlly, LLC",2017-04-21,http://www.dice.com/job/result/10432128/780493?src=19,Senior Core java Developer,29713,"Manassas, VA",595
ConsultAdd,2017-04-20,http://www.dice.com/job/result/10504871/264656?src=19,Entry level Java developer,29714,"New York, NY",595
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_190130BR?src=19,Network Engineer III- DOCSIS,29715,"Centennial, CO",595
Dew Software,2017-04-20,http://www.dice.com/job/result/10113487/DEVHDP?src=19,DevOps Engineer - Cloud,29716,"San Jose, CA",595
Open Systems Technologies,2017-04-05,http://www.dice.com/job/result/10240580/659698?src=19,Metadata Analyst,29717,"Hartford, CT",595
Volt,2017-04-23,http://www.dice.com/job/result/10105694/31595-884?src=19,application developer sr - specialty,29718,"Seattle, WA",595
Lucas Group,2017-04-03,http://www.dice.com/job/result/10117526/JEITADMINNY?src=19,"IT Sytems Admininstrator, NYC",29719,"New York, NY",595
"WIT, Inc.",2017-04-21,http://www.dice.com/job/result/RTL150792/WITNQVPrint?src=19,QlikView Consultant,29720,"Troy, MI",595
iAccess Technologies,2017-04-06,http://www.dice.com/job/result/10360692/948796?src=19,Field Service Representative - Systems Test Engineer,29721,"Santa Ana, CA",595
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITWQG1620628?src=19,Senior Radar Signal Processing Engineers,29722,"San Jose, CA",595
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/TS2-13651609?src=19,Software Engineer - Excellent Software Company - C#/JavaScript,29723,"Springfield, MA",595
The Judge Group,2017-04-23,http://www.dice.com/job/result/cxjudgpa/523574?src=19,.NET Developer,29724,"State College, PA",595
"CompCiti Business Solutions, Inc.",2017-04-17,http://www.dice.com/job/result/RTX1a0fe7/ASD2017?src=19,QTP-AUTOMATION SCRIPT DEVELOPER,29725,"NEW YORK CITY, NY",595
Chenega Corporation,2017-04-23,http://www.dice.com/job/result/10125215/1700001044-297?src=19,Health Education Specialist II,29726,"Atlanta, GA",595
Cincinnati Bell Technology Solutions,2017-03-31,http://www.dice.com/job/result/10119424/832155?src=19,Business Analyst,29727,"Louisville, KY",595
Kelly IT,2017-04-05,http://www.dice.com/job/result/10114756a/945884?src=19,Network Change Control Analyst,29728,"saint louis, MO",595
Starbucks Coffee Company,2017-04-23,http://www.dice.com/job/result/RTX13f031/160017389?src=19,"senior systems analyst (Hyperion Developer) - Starbucks Technology - Seattle, WA",29729,"Seattle, WA",595
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/21503?src=19,"Sr Analyst, Info Security",29730,"Ft Sam Houston, TX",595
Spectrum,2017-04-23,http://www.dice.com/job/result/appblok/3352_193367BR?src=19,Telecom B/OSS Architect,29731,"Centennial, CO",595
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/01120-0009238632?src=19,Jr. Software Engineer,29732,"Jacksonville, FL",595
General Dynamics Information Technology,2017-04-23,http://www.dice.com/job/result/90979310/23107?src=19,Principal Systems Administrator,29733,"Ft Riley, KS",595
Modis,2017-04-23,http://www.dice.com/job/result/cxmodman/US_EN_6_17404_56341065?src=19,Information Security Engineer,29734,"Marina Del Rey, CA",595
CyberCoders,2017-04-23,http://www.dice.com/job/result/cybercod/TS2-135303858?src=19,"Software Engineer - C#.NET, SQL, JavaScript",29735,"Springfield, MA",595
ALTA IT Services,2017-04-21,http://www.dice.com/job/result/COMPHLP/968365?src=19,"Software Developer (Jr-Mid) - W2, no C2C",29736,"Raleigh, NC",595
Intuites,2017-04-19,http://www.dice.com/job/result/10497589/915630?src=19,Sr. JAVA DEVELOPER :: Contract to Hire,29737,"Albany, NY",595
Oberon IT,2017-03-30,http://www.dice.com/job/result/10340217/939513?src=19,Microsoft CRM Dynamics Developer /Architect,29738,"new york, NY",595
MidDel Consulting,2017-04-13,http://www.dice.com/job/result/10206614/956611?src=19,SAP Logistics Business System Analyst,29739,"Eden Prairie, MN",595
"Chipton Ross, Inc",2017-04-23,http://www.dice.com/job/result/chipton/161866?src=19,Network Designer 3 - VA - C,29740,"Chantilly, VA",595
"Sunrise Systems, Inc.",2017-04-06,http://www.dice.com/job/result/sunrise/17-03923?src=19,Sr. Java Application Engineer,29741,"Beaverton, OR",595
HALLMARK GLOBAL TECHNOLOGIES INC,2017-04-20,http://www.dice.com/job/result/10116544/880000?src=19,MF Infrastructure Architect,29742,"Jacksonville, FL",595
Open Systems Technologies,2017-04-17,http://www.dice.com/job/result/opensyst/31885?src=19,Sr. Security Engineer,29743,"Parsippany, NJ",595
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/02000-0009217783?src=19,Manager of Applications Development,29744,"Baltimore, MD",595
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITAQG1621069?src=19,Database Administrator,29745,"Denver, CO",595
"MMD Services, Inc",2017-04-21,http://www.dice.com/job/result/10206082/211188?src=19,Full-Stack Duck Creek Development Lead,29746,"Chicago, IL",595
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITAQG1622197?src=19,Qliksense Developer,29747,"Farmington, CT",595
Booz Allen Hamilton,2017-04-23,http://www.dice.com/job/result/booz/J3J5RJ76CVPPJQVXL4G?src=19,"Network Engineer, Senior",29748,"Lincoln, MA",595
Infogroup Northwest,2017-04-23,http://www.dice.com/job/result/infogrup/17209?src=19,Javascript Angular Engineer,29749,"Beaverton, OR",595
Robert Half Technology,2017-04-23,http://www.dice.com/job/result/rhalfint/01300-9500496668?src=19,SQL Developer Needed in the Western Burbs,29750,"Itasca, IL",595
